frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
1349977,0,1000,-15.4618,-90.2511,-161.373,1000,176.535,-1,2.48268,0.273838,9.07834,2.77273,-0.705499,598.856,0,1
1372665,0,1000,-15.4577,-90.2177,-161.381,1000,176.531,-1,2.43573,0.268449,8.90951,2.71897,-0.713283,598.849,0,1
1390461,0,1000,-14.3058,-89.8791,-161.228,1000,176.722,-1,2.42025,0.268337,10.3846,2.69591,-0.713962,601.608,0,1
1413180,0,1000,-18.4209,-89.9097,-153.551,1000,176.734,-1,2.47701,0.26799,10.807,3.00603,-0.712026,601.609,0,1
1430988,0,1000,-18.4817,-89.718,-153.544,1000,176.71,-1,2.48368,0.267349,10.7816,3.00739,-0.711893,601.634,0,1
1456250,0,1000,-18.5053,-89.7956,-153.545,1000,176.695,-1,2.48184,0.266748,10.778,3.0074,-0.712005,601.631,0,1
1493617,0,1000,-18.5484,-89.9685,-153.655,1000,176.631,-1,2.47892,0.271,10.78,3.00841,-0.712301,601.666,0,1
1522961,0,1000,-18.5426,-89.9756,-153.649,1000,176.64,-1,2.47974,0.271146,10.7786,3.00989,-0.712245,601.663,0,1
1580901,0,1000,-18.6013,-89.8189,-153.619,1000,176.611,-1,2.48164,0.269884,10.7684,3.00726,-0.712222,601.674,0,1
1610353,0,1000,-18.5873,-89.9158,-153.604,1000,176.621,-1,2.47757,0.268811,10.7716,3.00561,-0.712333,601.669,0,1
1636503,0,1000,-20.1526,-114.929,-156.764,1000,176.559,-1,2.49091,0.323602,9.32506,3.82522,-0.71206,601.698,0,1
1662412,0,1000,-20.1365,-114.915,-156.765,1000,176.567,-1,2.49056,0.324078,9.32773,3.82523,-0.712073,601.704,0,1
1683444,0,1000,-24.3774,-114.875,-156.792,1000,173.553,-1,2.51854,0.323678,9.96431,3.85789,-0.718719,604.523,0,1
1704435,0,1000,-24.3901,-114.867,-156.802,1000,173.541,-1,2.51854,0.32398,9.9648,3.8579,-0.71872,604.519,0,1
1727263,0,1000,-20.1885,-90.1378,-163.423,1000,173.664,-1,3.10533,0.268223,8.95136,3.38522,-0.705852,604.548,0,1
1814790,0,1000,-21.8553,-90.1933,-163.436,1000,173.324,-1,3.10412,0.26873,7.68868,3.38539,-0.705869,604.547,0,1
1831498,0,1000,-30.6408,-90.1694,-156.397,1000,170.14,-1,3.15826,0.26561,8.91413,3.69089,-0.704509,604.586,0,1
1852686,0,1000,-28.4571,-90.166,-153.182,1000,170.14,-1,2.4506,0.273883,10.5209,2.99918,-0.726811,604.587,0,1
1873555,0,1000,-28.4883,-90.1825,-153.251,1000,170.112,-1,2.45172,0.278922,10.5067,3.00164,-0.726791,604.604,0,1
1897215,0,1000,-28.5002,-90.0628,-153.252,1000,170.107,-1,2.39765,0.602546,10.5304,3.00997,-0.728702,604.619,0,1
1966168,0,1000,-26.5767,-89.9885,-156.461,1000,173.216,-1,3.11558,0.586399,8.23846,3.70613,-0.705866,604.614,0,1
1984971,0,1000,-24.5753,-90.0273,-153.281,1000,173.222,-1,2.40488,0.605586,9.83214,3.01565,-0.728399,604.604,0,1
