,Unnamed: 0,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,0,-134.893,-50.9698,-31.172,-165.377,6.31252,153.805,True,True,0.7063390769861219,1.866745431030069,0.7488016723864181,0.9163466091276928,0.3770000614659639,16.061438928443366,center
1,1,-134.911,-45.4477,-36.6269,-165.553,7.42063,155.874,True,True,0.7139391418007317,1.4914055467116798,0.5515845103015409,1.0931099373922415,0.3712377009576754,14.856608612508323,center
2,2,-134.912,-45.4464,-36.626,-165.554,7.42035,155.874,True,True,0.7138769793740863,1.4913724109519928,0.5515384253502261,1.0930331754157194,0.3712367569162024,14.856570832792947,center
3,3,-128.786,-45.3494,-44.5766,-153.54399999999995,7.5286,161.27100000000004,True,True,0.911872637395341,1.492474199200025,0.6988352730869648,1.0896009489832459,0.4349626712912242,14.901736296066511,center
4,4,-128.785,-45.3412,-44.5656,-153.55200000000005,7.52981,161.27100000000004,True,True,0.9116164035560708,1.4925167682151517,0.6986915528272508,1.0892809578785694,0.4349244463996939,14.89934432820335,center
5,5,-123.883,-45.517,-44.8041,-153.006,14.0933,161.33100000000005,True,True,1.152639881618296,1.4888968228139046,0.704524899314518,1.0986316132050495,0.4376816635477913,16.00034390954582,center
6,6,-123.842,-50.4437,-44.8125,-143.113,14.1229,161.31799999999996,True,True,1.145158328409169,1.416674494830873,0.6997770841855881,1.323907781700278,0.539396079857372,15.895420776452895,center
7,7,-120.311,-56.1831,-51.0223,-143.164,13.9251,159.243,True,True,1.4113487197224894,1.4729503718889383,0.8833595330307051,1.140335447352338,0.5376796983483433,15.97207111839349,center
8,8,-120.313,-56.1823,-51.0218,-143.158,13.924,159.24,True,True,1.4118518600805452,1.4705869219990733,0.8826942928916794,1.1408759155231725,0.5370473610462464,15.97291248343158,center
9,9,-119.875,-50.3448,-44.7638,-135.477,12.8215,159.05100000000004,True,True,1.4108568179351126,1.4775432360863232,1.0689207096498956,1.3475927818265736,0.39238040435301613,14.896443038933306,center
10,10,-119.881,-54.3245,-44.7665,-135.514,12.8147,153.467,True,True,1.4107745061902923,1.4780225496334312,1.0691615055641956,1.6122960257911962,0.3919739790560021,14.989907185991562,center
11,11,-119.882,-53.0976,-33.9868,-117.676,16.7501,153.514,True,True,1.4142869055463547,1.391909891214054,1.1128993635429407,2.1508545313166567,0.43162053173575216,16.11494589988869,center
12,12,-119.875,-53.0922,-33.9835,-117.675,16.755,153.523,True,True,1.4146049477779556,1.3919153742643735,1.1129049828703454,2.1511015786537198,0.4317396723529874,16.114185729758127,center
13,13,-119.867,-49.4907,-38.5213,-134.835,18.3647,155.903,True,True,1.4105870473449698,1.4097524227851663,0.8923341310411883,1.8423766897648608,0.3876552816590319,16.088395423277415,center
14,14,-119.869,-49.4857,-38.5195,-134.833,18.3682,155.904,True,True,1.410540757494673,1.409691400688636,0.8921866297444412,1.8423011197835275,0.3875982107697149,16.088315026202324,center
15,15,-125.401,-49.5596,-38.5184,-134.934,16.7414,155.79399999999995,True,True,1.6010386106721388,1.4113257130163068,0.893315819899327,1.845039991518029,0.3866817011415323,16.237438970146503,center
16,16,-125.52,-49.5616,-38.5801,-135.018,16.5853,155.793,True,True,1.5975568684369883,1.4130174676898255,0.8939942043618766,1.8418570325121144,0.38687677705977297,16.217133642972552,center
17,17,-125.52,-49.5601,-38.5798,-135.017,16.5866,155.793,True,True,1.5968311275580134,1.4130281681252668,0.8940009743611812,1.8420478800071791,0.3868797067829186,16.21685614794135,center
18,18,-125.555,-49.5404,-38.5634,-134.939,16.5168,155.825,True,True,1.5942137767940212,1.4139237463309267,0.8966288902293457,1.842046242336897,0.38655646779416375,16.210607290954204,center
19,19,-125.551,-49.5449,-38.5652,-134.955,16.5254,155.814,True,True,1.5951378368692215,1.4139360484778762,0.8957552205581736,1.8420688654340212,0.3868161384274464,16.209811895856372,center
20,20,-125.578,-49.5335,-38.5726,-134.912,16.4883,155.866,True,True,1.5935215084835097,1.4136348037421873,0.8959539596051871,1.8424444842633,0.38768466506325816,16.212108401747425,center
21,21,-125.591,-49.5261,-38.5744,-134.899,16.471,155.886,True,True,1.5936609705376013,1.4136226598424173,0.8960838822513968,1.8416683071114648,0.3878668261683769,16.20850225876627,center
22,22,-123.707,-49.4462,-38.6975,-134.868,12.5595,156.003,True,True,1.1416194938395576,1.4127091394565925,0.8974701290638462,1.8395869578384807,0.3886171972400416,16.18774596076094,center
23,23,-123.715,-49.4018,-38.6866,-134.814,12.5649,156.055,True,True,1.1420943295755934,1.4113350040000148,0.8964645689957612,1.8368607138440771,0.3888729687645903,16.185697064219696,center
24,24,-129.504,-49.46100000000001,-38.6314,-134.843,11.4894,156.019,True,True,1.3346396189274357,1.4158769085173633,0.8974726182965299,1.837745032176648,0.3899785488959033,16.189623934384862,center
25,25,-129.5,-49.4519,-38.6098,-134.84,11.5095,156.02200000000005,True,True,1.3352396670855768,1.4158184036663108,0.8978417117130767,1.8368949144244502,0.38935046358686143,16.190690156413233,center
26,26,-130.605,-45.3336,-38.6357,-134.641,14.9695,161.29399999999995,True,True,1.8248016515159928,1.4144213006193196,0.8999898143053977,1.5711020664139663,0.39030948006521216,16.35675175524048,center
27,27,-129.629,-45.3479,-38.647,-134.634,11.4106,161.286,True,True,1.3383815374364691,1.4132917964352976,0.9001038544437662,1.5716451549399642,0.3900261976992482,16.360477524998856,center
28,28,-134.929,-45.1858,-39.9063,-124.662,5.06921,159.363,True,True,1.5743951952558262,1.4766207532647808,1.302646838685263,1.5603542893192857,0.2858811406220416,15.250385979433466,center
29,29,-134.92600000000002,-45.1894,-39.9088,-124.667,5.06954,159.358,True,True,1.573392085414147,1.4765983960876272,1.3025535642637462,1.5595352010315895,0.2858326187730397,15.250925731993199,center
30,30,-144.14700000000005,-44.9447,-44.822,-135.442,0.422161,165.60299999999995,True,True,1.6111287767533178,1.473539964068163,1.074420685026206,1.0932682043673247,0.3848597422193976,14.17381754502834,center
31,31,-144.14700000000005,-44.9433,-44.822,-135.441,0.422355,165.60299999999995,True,True,1.6111328421291689,1.4735436822649155,1.0744233961216627,1.0932709630208979,0.3848607133394748,14.173853309950669,center
32,32,-147.542,-51.7902,-51.0005,-147.126,0.396718,156.548,True,True,1.9179947041465688,1.2786295300624388,0.8846723159135592,0.8815991962822954,0.2867038133678722,14.160906658690047,center
33,33,-147.53799999999995,-51.7931,-50.9952,-147.118,0.402268,156.548,True,True,1.918264399934369,1.2796127093509135,0.8846589173702868,0.8810025014829629,0.28718076811430354,14.161433920209989,center
34,34,-144.661,-68.358,-58.9918,-158.27200000000005,0.227796,156.554,True,True,1.6352430559939009,1.5758376335968594,0.7329850805810229,0.6308214239725684,0.6246076361974635,13.972033573111204,center
35,35,-144.655,-68.4295,-58.9701,-158.266,0.242541,156.49200000000005,True,True,1.6355610721716105,1.5758132082331917,0.7327731457167653,0.6312065086755381,0.6245567015775635,13.9733224493506,center
36,36,-153.123,-68.1611,-63.1404,-158.328,0.202108,156.94899999999996,True,True,1.7392812889833718,1.17185679870304,0.43893515689315105,0.6282451502770197,0.6370360654744175,14.156863664829967,center
37,37,-153.119,-68.1886,-63.1217,-158.319,0.213535,156.918,True,True,1.7394535377280895,1.1717412248031125,0.43878424668776267,0.6288649348157065,0.6369597960765694,14.155825905042779,center
38,38,-153.238,-67.9019,-63.0605,-158.14700000000005,0.08403660000000003,156.911,True,True,1.741874168874169,1.167683847686467,0.4412707001785356,0.6348648582445948,0.6325475569382619,14.676301344195306,center
39,39,-153.233,-67.9044,-63.0663,-158.15,0.0845701,156.907,True,True,1.7432908151025197,1.1667643356978727,0.4414031167689853,0.6353337988368344,0.6317952887342143,14.6785253657317,center
40,40,-144.36700000000005,-39.4111,-44.9509,-161.188,0.21775500000000006,159.173,True,True,1.6174905018536636,1.7339056801996118,1.0795202211267572,0.8870743411150298,0.22171078005515066,14.715817757316167,center
