frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
4906428,0,-158.061,1000,-10.1139,1000,10.5372,1000,7.83328,-1,2.46134,-1,-1,-0.553295,974.296,1,0
5092869,0,-155.446,1000,-11.8749,1000,13.9041,1000,9.77192,-1,1.76454,-1,-1,-0.573559,974.209,1,0
5136936,0,-153.417,1000,-10.0257,1000,13.9213,1000,8.28724,-1,2.41686,-1,-1,-0.563452,974.212,1,0
5298710,0,-149.158,1000,-11.8691,1000,18.1944,1000,9.4134,-1,1.79831,-1,-1,-0.586315,971.499,1,0
5466398,0,-149.159,1000,-11.8624,1000,18.1945,1000,9.41543,-1,1.79898,-1,-1,-0.586234,971.497,1,0
5634249,0,-151.503,1000,-26.1,1000,14.8932,1000,11.1678,-1,1.43578,-1,-1,-0.584201,971.442,1,0
5782528,0,-151.529,1000,-26.1048,1000,14.8712,1000,11.1654,-1,1.43564,-1,-1,-0.584181,971.447,1,0
5914402,0,-155.575,1000,-26.1397,1000,11.3704,1000,10.4779,-1,1.44181,-1,-1,-0.586603,971.404,1,0
6011761,0,-155.57,1000,-26.1547,1000,11.371,1000,10.4759,-1,1.44154,-1,-1,-0.586665,971.405,1,0
6051193,0,-153.43,1000,-18.9108,1000,18.1959,1000,12.8353,-1,0.747896,-1,-1,-0.609268,971.357,1,0
6184629,0,-153.427,1000,-18.9116,1000,18.199,1000,12.8307,-1,0.747461,-1,-1,-0.609352,971.36,1,0
6345618,0,-153.377,1000,-18.8743,1000,18.2476,1000,12.8303,-1,0.747372,-1,-1,-0.609626,971.307,1,0
6476931,0,-153.384,1000,-18.8931,1000,18.239,1000,12.8305,-1,0.747283,-1,-1,-0.609601,971.315,1,0
6551745,0,-153.378,1000,-14.7867,1000,17.2621,1000,12.2627,-1,1.15189,-1,-1,-0.582814,971.262,1,0
6712446,0,-153.382,1000,-14.7967,1000,17.255,1000,12.2588,-1,1.15205,-1,-1,-0.58283,971.264,1,0
6877617,0,-153.393,1000,-14.7295,-2.50095,17.2437,1000,12.3972,0.332999,1.17033,-1,0.278423,-0.587976,968.497,1,0
7024782,0,-153.392,1000,-14.728,-2.48246,17.2452,1000,12.397,0.333652,1.17019,-1,0.27777,-0.587991,968.498,1,0
7191197,0,-149.852,1000,-14.7277,1000,20.3403,1000,13.1712,-1,1.15778,-1,-1,-0.584688,968.423,1,0
7315909,0,-149.859,1000,-14.7363,1000,20.3311,1000,13.1652,-1,1.15776,-1,-1,-0.584713,968.434,1,0
7478825,0,-151.749,1000,-33.1174,-18.4705,17.3612,1000,15.2914,0.0654912,0.91719,-1,0.712048,-0.581468,968.432,1,0
7666156,0,-149.942,1000,-33.1131,-18.4908,18.364,1000,13.907,0.066369,0.933321,-1,0.725547,-0.59223,968.426,1,0
7834980,0,-149.959,1000,-33.1691,1000,18.3434,1000,13.9036,-1,0.932871,-1,-1,-0.592472,968.385,1,0
7955262,0,-149.959,1000,-33.1654,1000,18.3448,1000,13.9041,-1,0.932614,-1,-1,-0.59247,968.388,1,0
8130775,0,-149.938,1000,-33.1948,1000,18.3576,1000,13.9157,-1,0.933701,-1,-1,-0.592263,968.355,1,0
8182472,0,-149.94,1000,-33.2184,1000,18.3523,1000,13.9135,-1,0.933577,-1,-1,-0.592172,968.358,1,0
