frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
4664912,0,-131.452,1000,-0.409595,-90.5741,29.5343,1000,9.37671,4.06433,3.99472,-1,0.0666483,-0.737203,604.562,1,0
4824313,0,-137.617,1000,-0.691733,-178.197,30.3716,1000,14.0867,4.04146,2.29132,-1,0.246994,-0.737563,598.846,1,0
4966044,0,-137.63,1000,-0.695693,-176.224,30.3634,1000,14.5416,3.22602,2.36431,-1,0.0671627,-0.761392,598.847,1,0
5021416,0,-128.628,1000,-0.446797,-104.631,35.4699,1000,11.1976,2.45901,2.44303,-1,0.000413455,-0.78573,595.877,1,0
5097172,0,-128.608,1000,-0.432874,-98.5778,35.497,1000,11.2153,2.45234,2.4432,-1,0.000390532,-0.785988,595.87,1,0
5130224,0,-128.637,1000,-0.395109,-90.8908,33.6736,1000,10.758,3.23677,3.16508,-1,0.0639093,-0.753991,595.651,1,0
5187670,0,-131.42,1000,-0.451579,-133.475,31.1008,1000,9.31931,4.00306,3.07058,-1,0.116459,-0.731818,595.654,1,0
5274982,0,-131.482,1000,-0.469931,-90.6605,31.0105,1000,9.58632,3.24859,3.18131,-1,0.0642684,-0.753511,592.71,1,0
5347003,0,-131.498,1000,-0.477212,-99.1512,30.9981,1000,9.64069,3.20892,3.19901,-1,0.000316496,-0.757593,589.934,1,0
5477249,0,-134.889,1000,-0.714544,-129.59,29.3123,1000,10.6871,3.20364,3.16363,-1,0.000316052,-0.754902,586.916,1,0
5601737,0,-134.889,1000,-0.722366,-132.977,29.3115,1000,10.6878,3.20501,3.16287,-1,0.000305924,-0.754882,586.909,1,0
5654718,0,-140.059,1000,-11.034,-154.433,28.0101,1000,16.2585,3.26803,1.75117,-1,0.31824,-0.752631,581.037,1,0
5753771,0,-140.033,1000,-11.0073,-154.542,28.0295,1000,16.299,3.28153,1.75802,-1,0.319,-0.754729,578.274,1,0
5874822,0,-134.94,-86.2553,-9.28552,-154.79,29.4713,101.411,12.671,4.03144,2.33482,16.1731,0.305192,-0.733854,575.272,1,1
6018858,0,-134.942,-86.2676,-9.30373,-154.758,29.4611,101.415,12.6606,4.03375,2.33457,16.1563,0.306253,-0.733786,575.275,1,1
6128267,0,-128.853,1000,-8.03543,-134.951,30.9774,1000,10.436,3.98344,3.131,-1,0.119044,-0.732276,572.406,1,0
6275903,0,-128.863,1000,-8.04247,-134.853,30.9692,1000,10.442,3.98209,3.13261,-1,0.11871,-0.73228,572.405,1,0
6308608,0,-131.836,1000,-8.0742,-93.8931,29.507,1000,11.685,3.21231,3.21478,-1,0.0633286,-0.751299,572.27,1,0
6422978,0,-131.823,1000,-8.05141,-93.7775,29.5227,1000,11.6808,3.20998,3.21398,-1,0.0631521,-0.751392,572.276,1,0
6586886,0,-128.76,1000,-8.01167,-135.533,31,1000,10.3873,4.00024,3.1376,-1,0.118834,-0.731967,569.372,1,0
6699286,0,-128.745,1000,-8.00289,-135.555,31.019,1000,10.4013,4.00108,3.13911,-1,0.118503,-0.731945,569.369,1,0
6833705,0,-131.97,1000,-8.16844,-177.75,29.4401,1000,11.1906,3.96891,3.05377,-1,0.0616515,-0.736296,566.398,1,0
6953393,0,-131.911,1000,-8.13043,-136.276,29.4881,1000,11.2124,3.91787,3.06171,-1,0.116951,-0.737729,566.397,1,0
7119381,0,-139.958,1000,-11.4706,-91.2707,27.9855,1000,16.4986,1.72684,1.78248,-1,0.0636645,-0.809129,566.339,1,0
7164273,0,-139.97,1000,-11.4896,-90.8677,27.9759,1000,16.5849,1.7295,1.79028,-1,0.0640412,-0.812588,563.528,1,0
7267921,0,-137.704,1000,-21.3829,-90.7295,26.6509,1000,15.3612,1.76939,2.0206,-1,0.264248,-0.808073,563.432,1,0
7319211,0,-137.705,1000,-21.371,-90.7109,26.6538,1000,15.0238,1.73018,1.976,-1,0.258656,-0.812616,563.437,1,0
7437428,0,-135.047,1000,-21.4026,-91.6482,29.3819,1000,16.3515,1.78227,1.96287,-1,0.0700422,-0.810386,560.496,1,0
7609215,0,-137.648,1000,-21.9022,-116.286,26.6179,1000,14.9476,2.40947,1.95839,-1,0.328472,-0.781909,560.499,1,0
7699172,0,-132.782,1000,-18.1037,-135.33,31.3629,1000,19.6993,3.19881,2.54562,-1,0.128946,-0.758346,554.738,1,0
7751718,0,-132.568,1000,-18.073,-135.295,30.4708,1000,16.7767,3.19616,2.54193,-1,0.129441,-0.758503,554.735,1,0
7840152,0,-124.874,1000,-17.9459,-152.634,36.1605,1000,15.0151,3.89742,2.41655,-1,0.294446,-0.741558,554.649,1,0
7888885,0,-126.93,1000,-9.77051,-152.481,36.1086,1000,13.6564,3.8451,2.25519,-1,0.294086,-0.742903,554.649,1,0
7970539,0,-126.76,1000,-18.3007,-116.577,33.7061,1000,14.6168,3.2228,2.63125,-1,0.325222,-0.754295,551.765,1,0
8067469,0,-126.766,1000,-18.2763,-116.415,33.7112,1000,14.6224,3.21769,2.63058,-1,0.325231,-0.754465,551.767,1,0
8137836,0,-121.67,-81.8576,-9.70791,-134.797,40.4067,103.162,16.0074,3.42668,2.57475,13.7337,0.146302,-0.842754,548.937,1,1
