,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,-163.99599999999998,-37.0757,-68.0006,-128.715,-18.4021,-165.851,True,True,1.1720279270070553,0.8044278332423789,0.6454228888222762,0.5436461562897875,0.9070696522766085,8.91480258185833,down
1,-161.657,-38.667,-63.4247,-117.28,-23.5432,-166.234,True,True,0.8938282262650704,0.7980170323843372,0.9698117728127402,0.8837418091368846,0.9756712895838386,8.107235627885041,down
2,-161.695,-38.7003,-63.4458,-117.29799999999999,-23.5618,-166.24099999999999,True,True,0.8945097548979436,0.7989357836708,0.9699156308918809,0.8824487099352466,0.9765144914542224,8.106500286908753,down
3,-153.91299999999998,-31.2627,-63.39,-121.495,-18.27,-166.218,True,True,0.9960482436029184,0.8182971055887555,0.9699933550732273,0.7408427170936535,0.7489750162024497,8.081128369533737,down
4,-153.911,-31.2578,-63.3908,-121.494,-18.2685,-166.21,True,True,0.9961217918996726,0.8182701144272603,0.9699784465865248,0.7406664420985793,0.7490382141457359,8.08100416518305,down
5,-161.717,-21.9246,-62.9435,-120.939,-23.7485,-159.849,True,True,0.8711043722398112,0.816390901499093,0.9772094719908253,0.6508253793817216,0.7413477938991526,8.014606603444905,down
6,-158.622,-30.6515,-62.9467,-120.944,-26.1181,-166.11599999999999,True,True,0.6461608555875736,0.8164133999359692,0.977023723342945,0.7573076400896612,0.7410431636247183,8.014104397054108,down
7,-153.72,-26.6361,-50.0812,-112.381,-23.6817,-166.31799999999998,True,True,0.4413023849738473,1.09547109592805,1.3090250910644932,0.9866244988909392,0.6320814823670661,7.187119930404346,down
8,-153.692,-26.6129,-50.0746,-112.365,-23.6757,-166.30900000000003,True,True,0.44075945680594647,1.0942328770259202,1.3076605723936592,0.9874495925281666,0.6321847841569255,7.187807203756267,down
9,-135.937,-26.3615,-45.0079,-108.962,-18.2243,-159.965,True,True,0.3979473965300627,1.3854209371169215,1.5352691184773237,0.9872011363000568,0.8572604283759637,7.183669120003252,down
10,-136.017,-23.3559,-45.0296,-102.59700000000001,-18.2881,-166.207,True,True,0.39629368785127844,1.101041746140728,1.5344586455074798,1.2516779151089805,0.568610282037585,7.178862208489116,down
11,-135.422,-29.7033,-49.7331,-108.885,-12.307,-167.696,True,True,0.6931215039544274,1.0844098873432946,1.3166688706355099,1.3986923276453875,0.8561228797395953,7.174374602649841,down
12,-135.445,-29.6952,-49.7237,-108.891,-12.3028,-167.683,True,True,0.6936292009113837,1.084360261209221,1.3166086032223978,1.3986436498087662,0.8562602835869514,7.171201442855392,down
13,-153.599,-15.9293,-50.9902,-117.01799999999999,-11.3079,-158.275,True,True,0.9783972090705142,1.1134176579179031,0.8979441839531819,1.1376343617935494,0.9761312087755586,7.14171010542267,down
14,-161.379,-15.9826,-51.0306,-117.04299999999999,-16.4724,-158.327,True,True,0.874085940658502,1.1131317549957798,0.8980650600204014,1.1382292776448424,0.9758517632341025,7.14572922043414,down
15,-156.711,-11.087,-67.8396,-130.07399999999998,-12.523,-153.506,True,True,1.2430339921953617,1.1056523903344162,0.629747238499568,0.564269822425036,1.3276791219127766,7.1976911034561635,down
16,-156.72,-11.0603,-67.8478,-130.079,-12.5427,-153.503,True,True,1.2415730418202586,1.1057702834625744,0.6290830049574184,0.5649332655395956,1.328622043981188,7.19677357061142,down
