,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,-167.80700000000002,1000,-44.1074,-87.8838,3.5884199999999997,1000,True,False,4.039769224612079,0.07928940116405474,0.16533166157821985,-1,0.07901607720718619,23.417601724354803,left
1,-167.80200000000002,1000,-34.0052,-62.3344,3.3847099999999997,1000,True,False,4.040791799953822,0.07560925734956238,0.25725003486997416,-1,0.0982660407601419,23.41322722418993,left
2,-167.81599999999997,1000,-34.0227,-62.3643,3.3706300000000002,1000,True,False,4.041109779074513,0.07558018210004806,0.2572221213603966,-1,0.09841083865716116,23.408815371036866,left
3,-168.523,1000,-44.4152,-62.0996,3.39046,1000,True,False,4.54705509646879,0.020584582256283585,0.1639166488735837,-1,0.09726137886545307,23.26564687924477,left
4,-168.528,1000,-44.4218,-62.0955,3.38622,1000,True,False,4.5461809917543246,0.02058906707857216,0.1638404742975229,-1,0.09707954705494744,23.266719953206255,left
5,-168.477,1000,-33.7165,-44.8891,3.27612,1000,True,False,4.578552437608013,0.02166606461879001,0.260149544120204,-1,0.15313121290546816,24.095334454361737,left
6,-168.482,1000,-33.7297,-44.95399999999999,3.27088,1000,True,False,4.576890765966596,0.021764635947524046,0.26002269183459953,-1,0.15289758837812403,24.092961310707807,left
7,-164.044,1000,-33.7175,-44.5734,6.669339999999999,1000,True,False,4.18402985736694,0.02088271757372924,0.25950326972237164,-1,0.15384546331737248,24.06990737082306,left
8,-164.013,1000,-26.8775,-33.6759,6.34403,1000,True,False,4.1862928173132445,0.020732816032958973,0.39129670163855385,-1,0.24766610120279406,24.76976195418826,left
9,-163.952,1000,-15.2581,-19.1051,9.28634,1000,True,False,4.188193962619642,0.020330608539769472,0.3365303698249862,-1,0.19503971262764547,25.910708900585824,left
10,-163.99099999999999,1000,-15.3007,-19.0824,9.246319999999999,1000,True,False,4.2163761691707045,0.02046063715201059,0.33874467198777375,-1,0.19620756002356712,26.086026055475756,left
