frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
4007452,0,167.379,1000,-44.6769,-153.383,-22.6361,1000,8.29883,4.94493,1.78227,-1,1.96292,-0.568675,965.584,1,0
4069184,0,161.952,1000,-27.5123,-146.497,-21.1,1000,8.64818,4.77432,1.96507,-1,1.27514,-0.561701,965.591,1,0
4177318,0,167.618,1000,-27.5048,-146.482,-17.3408,1000,8.19498,4.77507,1.96662,-1,1.27448,-0.561709,965.586,1,0
4279854,0,159.933,1000,-27.5821,-146.532,-22.6499,1000,7.15374,4.77776,1.96514,-1,1.27828,-0.561651,965.522,1,0
4362539,0,159.948,1000,-27.5838,-146.539,-22.6404,1000,7.15249,4.77861,1.96516,-1,1.27863,-0.561722,965.506,1,0
4430572,0,167.368,1000,-36.9276,-146.632,-21.1334,1000,8.15408,4.86289,2.40527,-1,1.27618,-0.559974,965.491,1,0
4595137,0,161.927,1000,-27.5146,-146.562,-21.1188,1000,8.63461,4.77833,1.96452,-1,1.27622,-0.561936,965.487,1,0
4772557,0,165.951,1000,-36.8644,-146.536,-22.5748,1000,6.6875,4.85534,2.41254,-1,1.26614,-0.559878,965.47,1,0
4943298,0,165.978,1000,-36.8537,-146.537,-22.5552,1000,6.68415,4.85679,2.4125,-1,1.26669,-0.559888,965.463,1,0
5033832,0,167.703,1000,-22.6486,-135.075,-16.1189,1000,8.1196,4.67745,2.79041,-1,0.76922,-0.552779,962.638,1,0
5068080,0,167.69,1000,-22.6661,-135.043,-16.1335,1000,8.12574,4.67679,2.79124,-1,0.769597,-0.552681,962.641,1,0
5137507,0,167.646,1000,-22.6724,-135.054,-16.1605,1000,8.13094,4.66826,2.78632,-1,0.767961,-0.552839,962.659,1,0
5296097,0,167.693,1000,-22.6553,-135.037,-16.1255,1000,7.98763,4.58763,2.73867,-1,0.754346,-0.543333,965.469,1,0
5453372,0,167.737,1000,-22.6018,-135.007,-16.077,1000,7.98352,4.57863,2.73507,-1,0.751011,-0.543772,965.47,1,0
5571960,0,167.743,1000,-22.6094,-135.079,-16.0776,1000,7.96788,4.58266,2.73414,-1,0.752266,-0.543717,965.492,1,0
5612703,0,167.733,1000,-22.6076,-134.816,-16.0777,1000,8.01075,4.56622,2.73616,-1,0.748339,-0.543529,965.489,1,0
5736531,0,167.761,1000,-22.6047,-134.798,-16.0592,1000,8.01052,4.56566,2.73669,-1,0.748039,-0.543561,965.476,1,0
5887982,0,168.768,1000,-22.7124,-117.797,-15.1895,1000,10.0455,3.49933,2.79125,-1,0.498921,-0.559222,965.473,1,0
6010180,0,168.774,1000,-22.7149,-117.779,-15.1849,1000,10.0516,3.49719,2.78995,-1,0.498961,-0.559214,965.476,1,0
6177207,0,168.806,1000,-22.697,-117.797,-15.1542,1000,10.0401,3.4833,2.7799,-1,0.494884,-0.559392,965.558,1,0
6333852,0,163.527,1000,-22.7525,-117.802,-18.6018,1000,10.5329,3.47483,2.77297,-1,0.495513,-0.559526,965.558,1,0
6378972,0,164.91,1000,-27.429,-117.748,-18.5714,1000,13.1112,2.56895,2.03876,-1,0.518745,-0.587493,965.557,1,0
6552879,0,164.92,1000,-27.4109,-117.758,-18.5596,1000,13.1059,2.56925,2.03848,-1,0.518314,-0.587578,965.552,1,0
6623979,0,164.83,1000,-27.5547,-117.948,-18.6644,1000,13.116,2.57538,2.04049,-1,0.520735,-0.586997,965.565,1,0
6729378,0,164.867,1000,-27.5432,-117.915,-18.635,1000,13.1112,2.57326,2.03998,-1,0.519896,-0.58718,965.567,1,0
6856334,0,164.82,1000,-27.5847,-117.903,-18.6771,1000,12.7857,2.50312,1.98413,-1,0.507818,-0.604134,965.593,1,0
6969408,0,164.833,1000,-27.574,-117.959,-18.6661,1000,12.7736,2.50565,1.98488,-1,0.507275,-0.604138,965.587,1,0
7108545,0,160.271,1000,-27.6006,-117.941,-21.9108,1000,13.8036,2.56779,2.03509,-1,0.520489,-0.587221,965.579,1,0
7266062,0,160.252,1000,-27.6047,-117.909,-21.9252,1000,13.8099,2.56705,2.03495,-1,0.521147,-0.587223,965.58,1,0
7326268,0,158.537,1000,-22.765,-118.038,-21.8966,1000,10.928,3.42094,2.72406,-1,0.485495,-0.548799,968.351,1,0
7389193,0,158.558,1000,-22.7417,-117.884,-21.8744,1000,11.1594,3.47687,2.77242,-1,0.494537,-0.559616,965.586,1,0
7485794,0,158.571,1000,-22.7363,-117.879,-21.8641,1000,11.1579,3.47694,2.77258,-1,0.494443,-0.559624,965.583,1,0
7574059,0,164.895,1000,-27.4467,-117.653,-18.5868,1000,12.8669,2.51762,2.00021,-1,0.510124,-0.575605,968.369,1,0
7701299,0,164.903,1000,-27.4496,-117.661,-18.582,1000,12.8634,2.51818,2.00065,-1,0.510079,-0.57558,968.365,1,0
7748812,0,163.489,1000,-22.7206,-117.726,-18.6143,1000,10.3542,3.40716,2.72048,-1,0.486032,-0.548777,968.379,1,0
