frame,person,nose_x,nose_y,nose_c,l_eye_x,l_eye_y,l_eye_c,r_eye_x,r_eye_y,r_eye_c,l_ear_x,l_ear_y,l_ear_c,r_ear_x,r_ear_y,r_ear_c,neck_x,neck_y,neck_c,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,neck_ankle_height
0,0,980.287,290.419,0.893356,994.995,281.683,0.915816,974.313,284.685,0.891128,1018.28,296.498,0.927161,968.375,308.134,0.59867,997.811,366.788,0.98086,-147.536,-75.7903,-30.7109,-136.171,9.08981,123.918,393.224
0,0,980.177,287.536,0.891473,994.916,275.906,0.912241,974.227,281.735,0.860787,1018.21,296.483,0.916025,962.639,308.079,0.583884,994.999,366.804,0.974704,-138.543,-66.2561,-38.278,-135.724,13.2373,130.489,393.176
0,0,980.174,287.54,0.892915,994.914,275.906,0.913253,974.224,281.736,0.861224,1018.21,296.479,0.914346,962.632,308.08,0.581096,994.996,366.804,0.97474,-138.547,-66.2506,-38.2834,-135.716,13.2271,130.498,393.171
0,0,977.329,287.548,0.901313,994.854,278.76,0.908624,971.499,278.861,0.867909,1015.46,299.303,0.905411,959.661,305.198,0.554543,994.897,364.078,0.973849,-135.091,-65.7978,-26.6321,-123.87,17.1335,135.029,395.907
0,0,977.333,287.546,0.900376,994.855,278.759,0.908335,971.502,278.86,0.868147,1015.46,299.306,0.906174,959.662,305.196,0.55762,994.896,364.08,0.973277,-135.086,-65.7929,-26.6333,-123.872,17.1403,135.034,395.903
0,0,977.242,284.675,0.897467,994.779,275.856,0.901116,971.4,278.776,0.851277,1015.37,296.534,0.895673,956.717,305.218,0.571184,994.804,364.078,0.95471,-134.882,-60.9569,-26.6993,-134.72,17.2757,134.976,395.972
0,0,974.512,284.709,0.909052,994.755,275.882,0.902039,971.376,278.813,0.849132,1015.35,296.533,0.896024,956.721,305.275,0.540205,994.812,364.076,0.957166,-134.928,-61.0214,-23.5594,-118.002,16.1453,130.862,395.979
0,0,974.239,287.555,0.938094,989.003,278.772,0.873808,968.465,281.765,0.80633,1009.52,299.313,0.877331,956.711,311.11,0.316692,992.014,364.064,0.943982,-134.966,-68.1721,-30.749,-134.914,18.4313,126.653,395.959
0,0,971.522,287.544,0.933856,988.961,275.951,0.867631,968.445,281.737,0.794588,1009.52,296.528,0.875313,956.761,313.802,0.254719,992.019,364.07,0.944587,-134.981,-69.9801,-33.6146,-117.918,13.3008,119.341,395.943
0,0,971.326,287.641,0.921509,983.104,281.696,0.851441,965.495,284.633,0.764935,1003.77,299.387,0.876541,953.794,313.96,0.200605,991.961,364.019,0.943328,-139.438,-68.2494,-26.7833,-152.712,19.901,123.669,395.986
0,0,971.272,290.406,0.921235,980.241,281.764,0.856137,962.635,284.69,0.764087,1003.77,299.389,0.871967,953.794,314.108,0.162,991.958,364.019,0.941883,-143.169,-73.272,-43.9357,-146.504,15.4494,126.406,395.969
0,0,968.526,287.652,0.921685,980.204,281.738,0.858898,962.619,284.594,0.763761,1000.84,302.289,0.888507,950.953,313.967,0.236793,989.022,364.032,0.922275,-135.121,-68.339,-26.8596,-152.636,24.3677,123.735,395.979
0,0,971.264,287.638,0.923877,980.232,281.734,0.856971,962.652,281.78,0.767464,1000.85,302.281,0.88939,950.983,313.92,0.245607,989.038,364.026,0.924559,-135.095,-70.0445,-33.3585,-145.776,26.3336,127.657,395.967
0,0,968.471,287.651,0.930107,977.346,281.711,0.871487,959.722,281.775,0.776319,1000.74,302.272,0.891246,950.906,313.963,0.285458,986.043,364,0.922746,-138.683,-74.6837,-33.7909,-146.115,24.3779,123.724,393.213
0,0,968.505,287.641,0.932187,977.373,281.709,0.867098,962.571,281.765,0.777677,1000.73,302.271,0.892204,950.904,313.904,0.314551,983.217,364,0.923367,-138.645,-70.0485,-33.7815,-135.279,24.4147,123.828,395.952
0,0,968.411,290.431,0.93433,977.255,284.608,0.884013,959.636,284.667,0.798199,997.961,302.308,0.89438,950.836,313.94,0.331295,980.282,364.004,0.933197,-139.473,-73.269,-33.3629,-146.698,21.897,126.781,395.966
0,0,968.411,290.439,0.93402,977.253,284.614,0.884108,959.63,284.676,0.799685,997.962,302.315,0.892986,950.831,313.933,0.337332,980.275,364.002,0.933606,-139.478,-73.2606,-33.3745,-146.723,21.8946,126.808,395.978
0,0,965.575,290.419,0.928983,974.5,281.78,0.892301,956.706,284.68,0.817848,997.873,305.175,0.892088,950.779,313.892,0.406264,977.362,363.996,0.955072,-134.974,-78.5303,-44.0672,-147.095,24.5546,122.226,396.061
0,0,965.562,290.421,0.927803,974.493,281.783,0.893355,956.7,284.68,0.81669,997.874,305.174,0.892122,950.776,313.899,0.393925,977.362,363.997,0.953944,-134.987,-78.5387,-44.0415,-147.063,24.5404,122.201,396.063
0,0,962.635,287.621,0.893344,974.416,278.81,0.900715,953.849,281.746,0.803546,997.816,302.324,0.8924,950.745,313.923,0.349209,977.292,363.999,0.960049,-134.861,-84.4892,-36.7924,-146.229,22.6807,114.327,396.041
0,0,962.615,287.635,0.893891,974.408,278.815,0.901183,953.828,281.782,0.802498,997.826,302.336,0.893639,950.734,313.972,0.355314,977.299,364.013,0.957313,-134.875,-84.5102,-36.7923,-146.335,22.6618,114.282,396.037
0,0,959.659,290.406,0.892207,974.272,281.718,0.912952,951.024,284.632,0.836065,997.705,302.297,0.90602,948.07,313.918,0.318111,977.228,363.966,0.97148,-138.71,-84.2394,-30.7314,-146.233,17.356,116.239,396.018
0,0,959.663,290.412,0.892037,974.274,281.724,0.912963,951.024,284.639,0.83861,997.707,302.307,0.905282,948.067,313.918,0.328811,977.233,363.963,0.971703,-138.706,-84.2335,-30.7356,-146.249,17.362,116.258,396.015
0,0,959.701,287.65,0.885414,974.275,278.848,0.910996,951.007,284.601,0.842663,994.982,302.273,0.902661,947.973,313.814,0.428828,974.461,363.996,0.980781,-131.475,-84.072,-31.1307,-160.672,22.5128,114.144,393.213
0,0,959.694,287.653,0.885939,974.271,278.851,0.911262,951.003,284.6,0.843553,994.98,302.268,0.903107,947.973,313.811,0.423242,974.462,363.996,0.981137,-131.486,-84.0776,-31.127,-160.642,22.499,114.137,393.226
0,0,956.731,287.63,0.905868,971.512,278.804,0.911397,950.908,284.64,0.829383,994.914,299.383,0.906627,947.946,314.01,0.390381,974.455,364.001,0.981874,-138.674,-84.2408,-30.841,-152.825,17.109,108.419,393.208
0,0,956.75,287.619,0.901872,971.522,278.802,0.908823,950.925,284.624,0.826378,994.912,299.39,0.901484,947.949,313.963,0.395816,974.444,364.003,0.982729,-138.646,-84.2087,-30.8317,-152.792,17.1418,108.474,395.967
0,0,953.929,290.385,0.919313,971.473,281.673,0.915528,950.876,284.666,0.85066,994.873,299.364,0.904821,947.92,314.005,0.346318,974.418,364.01,0.988299,-142.91,-84.2465,-26.4099,-118.095,12.3683,104.274,395.971
0,0,956.717,290.388,0.917011,971.503,281.688,0.917091,950.896,284.652,0.855767,994.886,299.388,0.901416,947.909,313.958,0.369031,974.421,364.008,0.987702,-142.875,-84.1804,-30.4718,-135.422,13.2682,110.488,395.985
0,0,953.918,287.637,0.918,971.455,278.771,0.917673,950.822,284.646,0.848662,994.868,299.302,0.910535,947.782,313.937,0.433074,974.385,364.037,0.992044,-138.753,-84.0751,-26.8189,-135.985,15.8996,103.132,395.959
0,0,956.703,287.643,0.910686,971.473,278.79,0.913512,950.849,284.636,0.854666,994.858,299.313,0.906311,947.787,313.875,0.452953,974.355,364.031,0.990364,-138.729,-84.0221,-30.9402,-152.812,17.007,108.773,396.023
0,0,953.932,290.384,0.910637,971.437,278.799,0.903087,950.796,284.699,0.860865,994.832,296.484,0.895355,945.006,313.842,0.492857,974.349,364.063,0.984576,-142.913,-78.7625,-33.496,-118.877,8.48265,110.831,395.996
0,0,953.922,290.387,0.912205,971.424,278.801,0.902287,950.79,284.705,0.86077,994.819,296.479,0.890836,945.009,313.845,0.487784,974.346,364.063,0.985069,-142.924,-78.7799,-33.5026,-118.866,8.47332,110.804,395.997
0,0,953.872,290.392,0.913104,971.395,278.79,0.899985,950.759,284.718,0.850263,994.846,296.516,0.902955,944.966,313.898,0.455589,974.348,364.08,0.980891,-142.915,-78.7714,-33.5093,-118.751,8.50093,110.751,395.999
0,0,953.924,287.616,0.921532,971.443,275.902,0.923304,950.778,284.61,0.859725,994.818,296.463,0.894596,945.003,311.147,0.476947,974.359,364.033,0.990887,-138.664,-77.7212,-33.7682,-136.304,12.2073,110.764,396.043
0,0,953.915,287.62,0.922566,971.435,275.909,0.922166,950.774,284.619,0.858448,994.815,296.467,0.896825,945.011,313.816,0.468609,974.356,364.033,0.990026,-138.675,-78.8332,-33.7577,-136.3,12.2057,108.773,396.046
0,0,956.782,287.637,0.899827,971.519,278.755,0.912224,950.851,284.633,0.866669,994.882,296.526,0.920945,945.038,311.067,0.536138,974.383,364.036,0.992198,-142.742,-77.5975,-31.0769,-153.138,13.1328,116.621,396.054
0,0,956.792,287.633,0.898671,971.525,278.752,0.911546,950.855,284.63,0.867484,994.884,296.529,0.918551,945.035,311.059,0.545631,974.386,364.038,0.991783,-142.727,-77.581,-31.0819,-153.165,13.1457,116.651,396.052
0,0,956.689,287.633,0.901757,971.479,275.945,0.917977,950.849,281.786,0.861066,994.905,296.518,0.930229,947.856,313.82,0.401643,974.407,363.994,0.99045,-138.709,-84.6622,-38.3177,-134.969,13.0893,108.64,396.065
0,0,953.918,287.631,0.904757,971.466,275.939,0.918943,950.84,284.595,0.855769,994.908,296.52,0.929278,947.865,313.864,0.383682,974.406,363.991,0.991074,-138.718,-84.1956,-33.6747,-135.387,12.2353,102.993,396.062
0,0,956.781,287.552,0.88795,971.551,275.85,0.919039,950.895,278.863,0.855858,994.952,296.499,0.907259,947.873,311.03,0.432963,974.462,363.975,0.989512,-138.576,-84.633,-38.3908,-124.116,13.1903,110.78,396.103
0,0,956.767,287.561,0.889911,971.548,275.853,0.920318,950.88,281.679,0.856839,994.96,296.497,0.911107,947.866,311.046,0.420573,974.452,363.974,0.990953,-138.594,-84.1403,-38.3831,-135.019,13.1678,110.756,396.105
0,0,965.475,284.722,0.87115,974.379,275.823,0.920719,953.787,278.752,0.867829,997.726,296.532,0.919506,947.95,305.169,0.504668,974.512,363.954,0.981065,-138.427,-77.5395,-44.9868,-152.944,20.1118,130.601,396.151
0,0,962.667,287.5,0.875023,974.384,275.83,0.920497,953.78,278.764,0.869474,997.738,296.529,0.918238,947.95,305.182,0.49921,974.513,363.951,0.982271,-138.449,-77.5549,-44.8862,-135.489,14.4373,129.772,396.166
0,0,959.738,287.592,0.877713,974.346,275.932,0.922249,953.768,278.797,0.854783,997.788,299.338,0.908002,950.721,310.959,0.270054,977.286,363.93,0.973302,-135.044,-84.5873,-38.5987,-124.168,17.155,111.103,396.15
0,0,962.557,287.579,0.877441,974.353,275.928,0.922193,953.775,278.787,0.855225,997.791,299.342,0.90878,950.72,310.931,0.274376,977.292,363.932,0.972354,-135.03,-84.5698,-44.6465,-134.969,18.4621,116.882,396.145
0,0,965.504,287.521,0.874427,974.496,275.926,0.896404,956.73,275.908,0.828264,997.91,299.412,0.911646,950.809,310.951,0.229196,977.369,363.939,0.957935,-134.913,-80.4099,-52.2081,-127.071,20.1489,122.095,396.139
0,0,965.5,287.518,0.874094,974.494,275.925,0.89679,956.73,275.909,0.827152,997.909,299.415,0.912024,950.812,310.965,0.226726,977.375,363.936,0.957432,-134.908,-80.4189,-52.1978,-127.068,20.1575,122.064,396.134
0,0,968.42,287.494,0.888018,977.357,275.916,0.874686,959.671,275.869,0.833109,1000.73,299.367,0.89498,950.856,305.152,0.258618,980.177,363.919,0.94729,-134.9,-73.247,-52.3336,-126.966,20.1798,134.846,396.164
0,0,968.457,287.49,0.888259,977.379,275.912,0.869091,959.702,275.864,0.833447,1000.72,299.348,0.896511,950.843,302.265,0.293023,980.177,363.919,0.946028,-134.887,-71.451,-52.3841,-126.982,20.1785,140.01,396.16
0,0,968.498,287.523,0.897713,980.174,278.778,0.866589,965.475,275.821,0.823704,1000.85,299.339,0.881574,953.822,310.99,0.115317,980.249,363.906,0.938316,-135.154,-71.6678,-36.8332,-104.486,20.067,122.021,396.17
0,0,968.53,287.513,0.898234,980.199,278.78,0.863663,965.514,273.05,0.834969,1000.83,299.331,0.888172,953.854,308.158,0.127143,980.246,363.903,0.939326,-135.118,-71.6282,-36.8108,-101.782,20.0934,125.409,396.185
0,0,968.464,284.661,0.868758,980.179,275.875,0.870412,965.563,273.007,0.745113,1003.75,299.334,0.859856,0,0,0,983.105,363.909,0.931138,-135.138,1000,-36.8667,-103.977,22.579,1000,396.196
0,0,968.484,284.622,0.868585,980.2,275.848,0.872084,965.582,272.985,0.749086,1003.74,299.335,0.861232,0,0,0,983.107,363.908,0.930479,-135.066,1000,-36.8266,-103.999,22.6511,1000,396.185
0,0,971.437,281.696,0.904138,988.985,273.016,0.88626,971.254,272.884,0.814447,1012.44,299.424,0.866939,959.652,311.087,0.0715741,986.078,363.887,0.928224,-131.605,-73.107,-26.32,-91.1904,23.3836,111.849,396.274
0,0,971.462,281.692,0.906888,989.01,273.024,0.887212,971.278,272.876,0.824573,1012.43,302.233,0.867479,956.834,311.029,0.077689,986.086,363.879,0.927304,-128.726,-69.2645,-26.2872,-91.1963,26.6273,116.501,396.295
0,0,974.378,278.812,0.914455,994.718,272.966,0.928235,971.468,270.154,0.861836,1015.37,296.519,0.919401,959.636,305.235,0.193564,989.013,363.891,0.932638,-131.251,-71.3625,-16.0357,-108.578,23.36,119.158,396.254
0,0,974.36,278.822,0.916033,992.007,272.977,0.926979,971.45,272.88,0.856146,1015.37,296.53,0.918651,959.677,308.064,0.179482,989.01,363.89,0.933275,-134.766,-71.499,-18.3246,-116.09,23.3554,116.661,396.248
0,0,977.279,275.861,0.925878,994.919,270.15,0.973922,974.305,270.026,0.92464,1018.19,296.463,0.929798,965.566,299.377,0.235135,991.964,363.908,0.955046,-131.491,-73.4208,-17.9377,-117.007,26.7282,116.477,396.226
0,0,977.269,275.874,0.926085,994.917,270.159,0.972998,974.301,270.032,0.924501,1018.2,296.473,0.929718,968.393,302.245,0.226312,991.967,363.908,0.956522,-131.499,-79.6081,-17.9441,-116.937,26.716,108.602,396.248
0,0,980.229,278.854,0.879106,997.701,272.952,0.956729,974.427,272.895,0.897709,1018.28,296.511,0.927831,968.428,299.387,0.329618,994.789,363.904,0.964413,-131.135,-77.2412,-18.6653,-134.237,24.8937,119.888,396.147
0,0,980.227,278.852,0.879618,997.7,272.953,0.956421,974.43,272.892,0.897596,1018.28,296.51,0.928525,968.44,299.386,0.324264,994.787,363.904,0.964015,-131.137,-77.2606,-18.6557,-134.202,24.8949,119.856,396.128
0,0,989.039,272.947,0.894343,997.919,270.003,0.965961,977.33,269.994,0.893857,1018.43,296.412,0.945303,971.266,296.348,0.558785,994.923,363.904,0.981934,-127.832,-77.0434,-18.3418,-165.847,38.6054,127.216,396.174
0,0,988.99,272.979,0.889818,997.889,270.019,0.970067,977.292,270.023,0.894922,1018.43,296.403,0.944487,971.261,296.394,0.528911,994.924,363.909,0.983505,-127.897,-77.1186,-18.3956,-165.82,38.5125,127.132,396.137
0,0,991.9,272.992,0.90928,997.989,270.009,0.956432,980.213,269.969,0.910974,1021.18,293.611,0.963774,971.414,293.573,0.53771,997.698,363.881,0.983829,-134.492,-69.5557,-26.1063,-165.498,35.1564,134.869,396.236
0,0,991.883,272.995,0.907651,997.979,270.012,0.959413,980.205,269.969,0.912639,1021.17,293.614,0.961672,971.421,293.593,0.516155,997.696,363.884,0.984557,-134.503,-69.6029,-26.076,-165.473,35.1422,134.81,396.211
0,0,991.973,275.92,0.898607,1000.75,270.101,0.940891,980.258,270.071,0.912251,1021.28,293.563,0.956614,971.522,293.628,0.466307,997.794,363.889,0.995443,-131.194,-69.6528,-33.5531,-153.468,31.0472,139.112,396.177
0,0,991.964,275.931,0.896129,1000.74,270.108,0.939979,980.245,270.077,0.912902,1021.28,293.566,0.955854,971.516,293.633,0.463921,997.793,363.888,0.995821,-131.204,-69.6682,-33.5663,-153.455,31.0296,139.117,396.175
0,0,991.996,278.819,0.886945,1000.8,270.141,0.925103,980.285,270.113,0.89629,1021.42,293.536,0.959452,974.253,293.665,0.372704,997.95,363.875,0.983064,-131.386,-75.6352,-44.5802,-143.371,26.5737,140.08,396.113
0,0,991.998,278.844,0.8868,1000.8,270.153,0.924691,980.287,270.128,0.893326,1021.41,293.522,0.962338,974.253,293.659,0.376549,997.945,363.875,0.98435,-131.408,-75.6175,-44.6356,-143.342,26.5244,140.141,396.121
0,0,994.861,273.003,0.943562,1003.77,269.97,0.91068,986.056,269.985,0.90935,1024.24,293.529,0.953291,974.258,293.487,0.51147,1000.78,363.836,0.963967,-130.993,-63.3449,-18.8058,-161.081,34.9388,135.165,396.234
0,0,994.874,272.995,0.948781,1003.78,269.959,0.91129,986.052,269.994,0.9088,1024.25,293.527,0.953066,974.266,293.489,0.536952,1000.8,363.833,0.961409,-130.977,-63.3588,-18.828,-161.218,34.9535,135.159,396.232
0,0,994.953,275.822,0.937447,1009.51,269.978,0.908734,988.944,270.051,0.904238,1027.2,293.46,0.957457,974.333,293.495,0.555002,1003.74,363.862,0.932396,-126.993,-58.066,-21.8779,-136.156,28.6799,139.4,396.231
0,0,994.979,272.998,0.958137,1009.57,269.942,0.918854,988.978,270.014,0.909984,1027.22,293.459,0.957377,974.356,293.497,0.551076,1003.73,363.86,0.934642,-126.893,-58.0914,-11.8348,-153.56,32.4013,135.173,396.226
0,0,997.935,270.074,0.993931,1015.47,267.109,0.95524,994.731,269.877,0.93652,1032.99,293.389,0.922855,974.466,290.674,0.79611,1009.58,363.855,0.913209,-123.693,-45.7422,-9.59413,-176.495,33.6244,138.724,396.264
0,0,997.936,270.07,0.994219,1015.47,267.108,0.954844,994.731,269.875,0.936616,1032.99,293.389,0.923202,974.465,290.669,0.79835,1009.58,363.855,0.913192,-123.688,-45.7368,-9.58744,-176.524,33.63,138.729,396.26
0,0,1000.83,270.063,0.958419,1018.3,267.097,0.964457,994.89,269.883,0.954263,1036,293.361,0.926976,977.36,293.348,0.804524,1015.32,363.819,0.928613,-123.968,-53.2365,-9.63398,-178.265,33.5212,135.224,396.313
