frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
4662987,0,-142.964,-63.022,-44.5976,-127.146,4.57493,161.213,7.66212,5.04315,3.8551,3.49429,1.88781,-0.664091,1018.41,1,1
4832706,0,-143.031,-63.2137,-44.5769,-127.082,4.55302,161.081,7.67358,5.03972,3.85615,3.49379,1.88729,-0.664219,1018.44,1,1
4959257,0,-143.051,-63.2093,-44.579,-127.089,4.53177,161.08,7.67039,5.0399,3.85711,3.49173,1.88592,-0.664187,1018.43,1,1
5003075,0,-142.974,-63.6804,-44.5245,-117.658,4.64196,157.649,8.01581,4.14445,4.01667,3.63259,1.59785,-0.692453,1018.43,1,1
5133244,0,-142.993,-63.7251,-44.4971,-117.62,4.64076,157.597,8.01462,4.14133,4.01553,3.62942,1.59558,-0.692609,1018.43,1,1
5224778,0,-142.969,-63.7569,-44.4793,-117.61,4.68579,157.535,8.02552,4.14114,4.01304,3.63934,1.59763,-0.692594,1018.45,1,1
5406218,0,-142.974,-63.6717,-50.5002,-127.402,5.04879,160.978,8.05017,4.15381,3.32025,3.65084,2.00217,-0.694637,1018.46,1,1
5549191,0,-142.964,-63.697,-38.6294,-124.275,8.7009,149.274,7.90052,4.07356,3.29212,3.58507,1.0659,-0.70615,1018.44,1,1
5635397,0,-142.969,-63.7036,-38.5949,-124.246,8.71268,149.255,7.89983,4.07187,3.29066,3.58533,1.06515,-0.706191,1018.44,1,1
5805502,0,-139.649,-63.6404,-44.7989,-127.33,5.0175,161.141,6.78342,5.13008,3.88731,3.55444,1.96045,-0.67785,1018.44,1,1
5950879,0,-143.015,-63.6647,-44.5,-117.531,4.65452,157.824,8.02813,4.13777,4.01249,3.6318,1.6079,-0.692585,1018.45,1,1
6092124,0,-143.038,-63.7004,-44.5025,-117.59,4.62009,157.67,8.02299,4.1411,4.01638,3.63072,1.5994,-0.692408,1018.44,1,1
6138073,0,-143.045,-63.7048,-44.5058,-117.564,4.61496,157.696,8.0249,4.13984,4.01702,3.62879,1.60053,-0.692435,1018.43,1,1
6275969,0,-143.043,-63.5416,-44.4868,-117.541,4.62092,157.914,8.01745,4.1381,4.01394,3.62372,1.60272,-0.69228,1018.43,1,1
6417625,0,-143.024,-63.5559,-44.5162,-117.559,4.62904,157.944,8.01986,4.13852,4.01301,3.62561,1.60666,-0.692336,1018.43,1,1
6480498,0,-143.017,-63.6235,-44.5308,-117.559,4.6286,157.849,8.01935,4.13686,4.01266,3.63034,1.60648,-0.692528,1018.42,1,1
6574280,0,-143.019,-63.6669,-44.5144,-117.539,4.63278,157.778,8.0209,4.13661,4.01355,3.6323,1.60513,-0.692562,1018.42,1,1
6641393,0,-143.004,-63.5892,-44.5219,-117.552,4.63759,157.895,8.02315,4.14063,4.01563,3.63303,1.60861,-0.692289,1018.44,1,1
6733115,0,-143.012,-63.5921,-44.5075,-117.526,4.63475,157.914,8.02325,4.14037,4.0165,3.62996,1.60866,-0.692277,1018.44,1,1
6821094,0,-139.647,-63.5428,-44.7884,-127.33,5.01024,161.238,6.77683,5.13158,3.88737,3.55137,1.96095,-0.677569,1018.44,1,1
6948345,0,-139.616,-63.4417,-44.7572,-127.364,5.0543,161.236,6.77527,5.13297,3.88237,3.56254,1.96067,-0.677363,1018.44,1,1
7003796,0,-139.571,-63.5161,-38.987,-134.976,9.36668,153.702,6.66684,5.05593,3.17858,3.51321,1.43216,-0.691044,1018.45,1,1
7045824,0,-139.576,-63.5112,-38.9824,-134.959,9.36166,153.719,6.66626,5.05617,3.1792,3.51216,1.43257,-0.691017,1018.45,1,1
7088214,0,-139.614,-63.5148,-38.9689,-134.87,9.32374,153.718,6.66908,5.0537,3.18558,3.50771,1.42938,-0.690985,1018.45,1,1
7251461,0,-139.615,-63.5188,-38.9645,-134.859,9.32307,153.712,6.66954,5.05366,3.1863,3.50799,1.42907,-0.690976,1018.45,1,1
7390658,0,-139.605,-63.6056,-39.0643,-134.997,9.30833,153.643,6.66981,5.05583,3.18258,3.50925,1.43193,-0.691192,1018.46,1,1
7538068,0,-139.619,-63.6305,-39.0539,-134.987,9.29867,153.607,6.67024,5.05516,3.18387,3.50863,1.43018,-0.69124,1018.46,1,1
7593952,0,-135.424,-66.8616,-45.1118,-127.361,9.34009,153.625,7.61992,5.05164,3.8314,4.47906,1.95929,-0.691598,1018.49,1,1
7656599,0,-135.409,-66.8138,-51.2355,-135.093,10.1379,156.911,7.63498,5.06404,3.17157,4.48837,2.49443,-0.693112,1018.48,1,1
7814542,0,-135.343,-66.8438,-51.2831,-135.187,10.2052,156.872,7.64371,5.0739,3.16804,4.50347,2.50406,-0.692948,1018.49,1,1
7934679,0,-135.344,-66.8251,-51.2661,-135.168,10.2093,156.907,7.6435,5.07448,3.16795,4.50165,2.50507,-0.692861,1018.49,1,1
7970207,0,-135.343,-63.6881,-58.7009,-141.262,11.1294,165.525,7.64997,5.08926,2.64876,3.57309,3.19364,-0.694149,1018.51,1,1
8113406,0,-135.346,-63.696,-58.7,-141.245,11.1339,165.526,7.65009,5.08629,2.64759,3.57317,3.19318,-0.694236,1018.51,1,1
8165679,0,-135.32,-71.353,-58.7563,-141.316,11.1659,163.569,7.77945,5.16744,2.68853,3.259,3.24368,-0.705074,1021.17,1,1
8213359,0,-135.329,-71.3584,-58.7582,-141.305,11.1581,163.57,7.77917,5.16507,2.68845,3.25805,3.24256,-0.705137,1021.18,1,1
8251566,0,-135.27,-71.3051,-58.8008,-141.346,11.224,163.669,7.76782,5.16544,2.67979,3.25255,3.25169,-0.705326,1021.19,1,1
8419488,0,-135.264,-71.2998,-58.7786,-141.329,11.2357,163.662,7.76911,5.16414,2.67983,3.25318,3.24949,-0.705319,1021.19,1,1
