frame,person,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear
5407307,0,1000,-8.90838,-115.736,-135.167,1000,179.876,-1,0.0797487,0.361856,12.5761,0.587567,-0.618663,974.485,0,1
5429977,0,1000,-4.88924,-107.802,-151.559,1000,179.915,-1,0.358209,0.748895,12.7297,0.391512,-0.61289,974.513,0,1
5576601,0,1000,-4.8866,-107.806,-151.551,1000,179.918,-1,0.352361,0.736983,12.5199,0.385016,-0.625924,974.519,0,1
5725049,0,1000,-8.86188,-115.766,-135.142,1000,179.917,-1,0.0788745,0.372874,12.7179,0.593747,-0.625074,977.244,0,1
5863215,0,1000,-8.85177,-115.846,-135.134,1000,179.925,-1,0.0781445,0.373472,12.7146,0.593208,-0.6251,977.238,0,1
6041655,0,1000,-8.86841,-91.6815,-135.083,1000,179.915,-1,0.280368,0.297603,12.726,0.59342,-0.625177,977.297,0,1
6153616,0,1000,-8.87415,-91.4251,-135.051,1000,179.916,-1,0.282768,0.304525,12.7303,0.593944,-0.625046,977.288,0,1
6309543,0,1000,-8.25292,-91.611,-118.644,1000,179.946,-1,0.0803019,0.299191,14.7263,0.388416,-0.632555,977.36,0,1
6373351,0,1000,-8.25995,-91.4155,-118.605,1000,179.943,-1,0.0810913,0.306535,14.7217,0.388383,-0.632619,977.352,0,1
6481068,0,1000,-8.25604,-91.3874,-118.634,1000,179.955,-1,0.0816626,0.305616,14.7279,0.389602,-0.632476,977.38,0,1
6626261,0,1000,-8.26206,-91.4837,-118.648,1000,179.949,-1,0.0812508,0.304647,14.7299,0.389753,-0.632449,977.372,0,1
6758802,0,1000,-8.27724,-92.059,-118.937,1000,179.899,-1,0.152534,0.0838015,14.8769,0.392111,-0.639124,980.196,0,1
6943396,0,1000,-8.27515,-92.1719,-118.925,1000,179.902,-1,0.15262,0.0833628,14.8764,0.392166,-0.639117,980.193,0,1
7023649,0,1000,-8.27967,-91.7346,-118.757,1000,179.909,-1,0.154316,0.0820422,14.8608,0.391638,-0.639491,980.229,0,1
7189058,0,1000,-8.2857,-91.7004,-118.773,1000,179.901,-1,0.154271,0.0821518,14.8605,0.391495,-0.639496,980.222,0,1
7322270,0,1000,-8.30018,-131.504,-135.367,1000,179.897,-1,0.151157,0.142716,14.258,0.585035,-0.613226,980.235,0,1
7427588,0,1000,-8.30534,-90.6084,-118.939,1000,179.883,-1,0.157536,0.0833793,14.8607,0.39272,-0.639211,980.232,0,1
7558209,0,1000,-8.87467,-91.0765,-118.756,1000,179.899,-1,0.160208,0.0853858,13.3575,0.403619,-0.659761,983.117,0,1
7675501,0,1000,-8.2789,-91.26,-118.72,1000,179.914,-1,0.156427,0.083532,15.0015,0.395433,-0.646172,983.118,0,1
7846486,0,1000,-4.54813,-90.5107,-135.65,1000,179.899,-1,0.0926792,0.0865787,15.0376,0.184316,-0.656586,983.159,0,1
7985793,0,1000,-4.54664,-90.5269,-135.641,1000,179.903,-1,0.0927333,0.0864351,15.0379,0.184565,-0.656509,983.162,0,1
8167283,0,1000,-8.34161,-115.082,-135.564,1000,179.84,-1,0.120111,0.474541,19.4671,0.799838,-0.83781,986.027,0,1
8292524,0,1000,-8.3537,-115.155,-135.579,1000,179.827,-1,0.119516,0.475216,19.4704,0.799791,-0.837944,986.027,0,1
8422112,0,1000,-8.38578,-115.326,-135.588,1000,179.804,-1,0.117318,0.465858,19.1739,0.788885,-0.825511,983.207,0,1
8517475,0,1000,-8.38401,-90.4584,-119.218,1000,179.784,-1,0.118886,0.386698,19.4529,0.513394,-0.837723,983.207,0,1
8680918,0,1000,-8.39236,-115.543,-135.696,1000,179.795,-1,0.119522,0.471512,19.4862,0.804131,-0.838226,986.08,0,1
8736421,0,1000,-8.39013,-115.499,-135.734,1000,179.791,-1,0.119541,0.474039,19.488,0.804036,-0.838289,986.094,0,1
8837660,0,1000,-12.1104,-115.678,-136.003,1000,176.425,-1,0.119917,0.479334,19.9642,0.807133,-0.838196,986.102,0,1
8988165,0,1000,-12.1158,-115.677,-136.009,1000,176.422,-1,0.120132,0.479262,19.9637,0.807662,-0.838132,986.1,0,1
9149563,0,1000,-8.45369,-115.445,-135.852,1000,179.728,-1,0.120256,0.479881,19.507,0.806534,-0.838246,986.093,0,1
9212816,0,1000,-8.44347,-115.43,-135.894,1000,179.736,-1,0.120761,0.479782,19.4903,0.806737,-0.838201,986.103,0,1
9267964,0,1000,-8.44549,-115.311,-135.886,1000,179.735,-1,0.121842,0.479982,19.5138,0.807738,-0.838128,986.136,0,1
9401739,0,1000,-8.39025,-115.285,-135.769,1000,179.792,-1,0.120933,0.479806,19.5251,0.80684,-0.838108,986.107,0,1
9573913,0,1000,-9.05123,-90.2852,-135.827,1000,179.7,-1,0.396598,0.37775,16.5034,0.778454,-0.811752,986.124,0,1
9737652,0,1000,-9.04304,-90.3234,-135.85,1000,179.703,-1,0.401383,0.383065,16.7172,0.788263,-0.822525,988.943,0,1
9884963,0,1000,-9.02915,-115.065,-146.024,1000,179.756,-1,0.395162,0.457349,16.5093,1.21772,-0.812302,988.98,0,1
10008057,0,1000,-8.42978,-115.087,-135.644,1000,179.77,-1,0.124164,0.478628,19.7556,0.815438,-0.850357,988.979,0,1
10085144,0,1000,-8.41139,-90.4014,-135.786,1000,179.775,-1,0.39578,0.374499,18.8784,0.780921,-0.81218,989,0,1
