,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,1000,-26.6539,-90.229,-128.826,1000,176.23,False,True,-1,0.34176637005416555,0.5297045423800103,3.89034606963378,0.878114947366308,17.20561058585981,right
1,1000,-26.6543,-90.2304,-128.828,1000,176.22799999999998,False,True,-1,0.3417672262402554,0.529705869384949,3.890444396289318,0.8781171472018364,17.20609482104253,right
2,1000,-24.9461,-90.3541,-121.344,1000,176.22099999999998,False,True,-1,0.19361108995143694,0.5286726161540719,4.399135177732913,0.7299606998060522,17.22360279341088,right
3,1000,-24.9128,-90.3715,-121.324,1000,176.25099999999998,False,True,-1,0.19317061442742942,0.5285251812261463,4.401105062304704,0.7303899250038164,17.231143084089446,right
4,1000,-24.7915,-90.3517,-121.12200000000001,1000,176.389,False,True,-1,0.1922968106230155,0.5345218331411622,4.431254052635681,0.7350432045656985,17.31968926218692,right
5,1000,-24.7388,-90.3201,-112.51799999999999,1000,176.192,False,True,-1,0.08961772798347846,0.5315350319748227,4.4106407794238365,0.6274188826854796,17.197136311468856,right
6,1000,-24.7967,-90.4642,-112.54700000000001,1000,176.107,False,True,-1,0.08840913897129393,0.5320128111970792,4.415367673588855,0.6261114897370108,16.78257862612251,right
7,1000,-24.8093,-90.4803,-112.56299999999999,1000,176.092,False,True,-1,0.08870540378693335,0.531933131049412,4.413741491672694,0.6260418206555102,16.78289893237185,right
8,1000,-24.7907,-100.883,-120.977,1000,176.35,False,True,-1,0.0899171014390351,0.5588722727914907,4.454132540819841,0.7340984948634618,17.304476527337684,right
9,1000,-24.7878,-100.876,-120.973,1000,176.355,False,True,-1,0.08991697550563978,0.558508109703646,4.453099493663866,0.7335800916803963,17.29703164663943,right
10,1000,-24.881999999999998,-99.677,-112.565,1000,176.058,False,True,-1,0.04359588935678472,0.7808560618867233,4.424397782695042,0.6293780923809758,17.32018490577463,right
11,1000,-24.8891,-99.6975,-112.565,1000,176.05,False,True,-1,0.04338133626018753,0.781693793051243,4.42568740443569,0.6293156107284319,17.320967688542357,right
12,1000,-28.5406,-108.419,-120.999,1000,175.908,False,True,-1,0.04211434194590232,0.849687373839321,3.410691259588215,0.7347193580944708,17.309686831348447,right
13,1000,-28.5156,-106.124,-116.90100000000001,1000,179.702,False,True,-1,0.042011182995387954,1.1080288481918514,3.4090423121953166,0.9530197847172517,16.284958164696867,right
14,1000,-30.9133,-108.413,-121.07,1000,175.55,False,True,-1,0.04307111878108053,0.8541365204074207,2.9573434909966236,0.7348859697591317,17.322124203042257,right
15,1000,-30.9073,-108.395,-121.068,1000,175.55599999999998,False,True,-1,0.04310001791350496,0.8544051353731211,2.957151654223914,0.7349634387875398,17.317325016588907,right
16,1000,-30.9897,-116.904,-129.075,1000,175.856,False,True,-1,0.043036736393227346,0.9637670005803507,2.9476112563397407,0.8937432035527683,18.356986735131557,right
17,1000,-31.0007,-116.889,-129.08100000000002,1000,175.84400000000002,False,True,-1,0.043178387502932965,0.9644538185341486,2.9474118193264522,0.893579939795662,18.360706255346084,right
18,1000,-33.5007,1000.0,-140.09,1000,176.13299999999998,False,True,-1,-1.0,-1.0,2.56865859628935,1.3130543299416428,19.52747778501196,right
19,1000,-33.4832,1000.0,-140.064,1000,176.16099999999997,False,True,-1,-1.0,-1.0,2.568430450791012,1.311970201307721,19.515448027678858,right
20,1000,-33.4798,-90.546,-140.213,1000,176.081,False,True,-1,0.8528015811134456,0.19426922329631616,2.5719415522971114,1.3115957259975302,18.97041386010199,right
21,1000,-33.4839,-90.5782,-140.216,1000,176.074,False,True,-1,0.8513202660724642,0.19516995682378432,2.572919062891934,1.3115146725950875,18.972526262797057,right
22,1000,-26.6413,-90.6323,-140.222,1000,179.74599999999998,False,True,-1,1.110764912209874,0.020542005016579056,2.7257775873989987,1.3020938438400584,18.508009682401077,right
23,1000,-26.6357,-90.5802,-140.232,1000,179.745,False,True,-1,1.1093692632248415,0.020599900070908853,2.726033183523798,1.3008627110560482,18.504017588529347,right
24,1000,-24.4407,-90.7771,-129.05,1000,179.78,False,True,-1,0.4287611096950589,0.1907434114063483,3.1806677072476477,0.8821883014134854,18.52140443857841,right
25,1000,-24.4557,1000.0,-129.025,1000,179.78599999999997,False,True,-1,-1.0,-1.0,3.1806547378091152,0.8831014718426748,18.529743608639254,right
26,1000,-21.1431,-103.831,-121.169,1000,179.78,False,True,-1,0.10989759477057769,0.3593485159759742,4.181316263691906,0.724902589470496,18.4992024733734,right
27,1000,-21.1292,-108.12299999999999,-121.161,1000,179.796,False,True,-1,0.17288510762877993,0.21253998127317447,4.181458466570616,0.7252631699825599,18.49386871534466,right
28,1000,-22.7294,-99.4599,-121.177,1000,179.63400000000001,False,True,-1,0.10751765430478684,0.7779796346967436,3.68877895013176,0.7233918175301126,17.905443263395966,right
29,1000,-26.3288,-99.462,-121.18799999999999,1000,176.15400000000002,False,True,-1,0.10764734792168167,0.7787433013345555,3.9045255565287884,0.7236935387380361,17.90461878882575,right
30,1000,-22.4648,-90.6105,-117.014,1000,175.97,False,True,-1,0.1707781882412318,0.7773749709815787,3.679888339641696,0.434286068634871,16.7600040398688,right
31,1000,-22.4649,-90.5997,-117.014,1000,175.96900000000002,False,True,-1,0.17109836690200858,0.7773617115230295,3.679869768509889,0.4342248991930395,16.758132184546145,right
32,1000,-26.4826,-98.3106,-112.54,1000,175.82,False,True,-1,0.10414593885250482,1.0460012769554914,3.891742943306704,0.6221231303075018,16.791291708621966,right
33,1000,-26.4776,-99.5286,-112.551,1000,175.82,False,True,-1,0.04646367956551092,0.792178996408712,3.8896155987451952,0.6217854869686557,16.789159490405996,right
34,1000,-30.8033,-98.3356,-116.90100000000001,1000,179.71200000000002,False,True,-1,0.10699726160850549,1.0545008682089123,2.9607888687540815,0.9548372764488219,16.782913184156236,right
35,1000,-26.6988,-105.764,-121.054,1000,179.703,False,True,-1,0.10700380574546316,1.1280671305234429,2.735142195571926,0.7325760328889094,16.78103852686358,right
36,1000,-26.6797,-112.935,-128.85,1000,179.90599999999998,False,True,-1,0.10688029761543841,1.227754810507406,2.70811712803119,0.8916226098895554,17.290358352514783,right
37,1000,-26.6761,1000.0,-128.863,1000,179.896,False,True,-1,-1.0,-1.0,2.711873462485026,0.8917148835741742,17.833800015144828,right
38,1000,-33.4748,-119.73100000000001,-135.173,1000,175.908,False,True,-1,0.10486036790985957,1.3674893382872773,2.545787876340285,1.0785823657694473,17.912990077842643,right
39,1000,-33.5023,-119.775,-135.187,1000,175.878,False,True,-1,0.1040633028009191,1.3646833496975033,2.5472469717888626,1.0789358188348614,17.917128226032425,right
40,1000,-33.485,1000.0,-140.284,1000,176.075,False,True,-1,-1.0,-1.0,2.549907924231116,1.3022428890930768,18.515307066479586,right
41,1000,-33.472,1000.0,-140.266,1000,176.095,False,True,-1,-1.0,-1.0,2.5478248540934785,1.3027089669412977,18.512719235934387,right
42,1000,-28.8134,1000.0,-146.249,1000,176.18200000000002,False,True,-1,-1.0,-1.0,2.3226838948739488,1.1154904536413495,18.503964310955855,right
43,1000,-28.8279,1000.0,-146.239,1000,176.176,False,True,-1,-1.0,-1.0,2.3219527787033307,1.115712398651037,18.50915917214433,right
44,1000,-33.3562,1000.0,-140.347,1000,176.111,False,True,-1,-1.0,-1.0,2.544207813872258,1.2976942515217964,18.509866738676163,right
45,1000,-33.3723,1000.0,-140.358,1000,176.09599999999998,False,True,-1,-1.0,-1.0,2.5449514912754414,1.2974948288654835,18.51051893306548,right
46,1000,-24.5181,1000.0,-135.549,1000,176.06,False,True,-1,-1.0,-1.0,3.137608268576015,0.6932241414557029,18.500470906534975,right
47,1000,-24.5046,1000.0,-135.534,1000,176.06900000000002,False,True,-1,-1.0,-1.0,3.1372630668968458,0.6926228596236264,18.50117714643409,right
48,1000,-22.7083,1000.0,-127.163,1000,175.99099999999999,False,True,-1,-1.0,-1.0,3.6575458973162105,0.5359915435377799,19.14192219852877,right
49,1000,-22.6749,1000.0,-127.147,1000,176.024,False,True,-1,-1.0,-1.0,3.6580488984227353,0.5363050700315445,19.139309579810725,right
50,1000,-18.5859,1000.0,-124.34299999999999,1000,175.787,False,True,-1,-1.0,-1.0,3.48435763881872,0.28725338083503754,18.522363504150984,right
51,1000,-18.5753,1000.0,-124.292,1000,175.822,False,True,-1,-1.0,-1.0,3.4856275711800637,0.2880867314863648,18.526759067141718,right
52,1000,-18.727999999999998,1000.0,-124.45700000000001,1000,175.705,False,True,-1,-1.0,-1.0,3.468539575557723,0.2880350705299454,17.903845508356028,right
53,1000,-18.6916,1000.0,-124.45,1000,175.72099999999998,False,True,-1,-1.0,-1.0,3.467140117319998,0.2872347207527042,17.896316832108216,right
54,1000,-20.1209,-99.1601,-134.864,1000,175.858,False,True,-1,0.28328072895883993,0.8021336289845977,2.9811446552952034,0.3936433698183136,17.866573873250438,right
55,1000,-20.1361,-99.1601,-134.876,1000,175.84,False,True,-1,0.28346753614110815,0.8019299226160965,2.9817278632547715,0.39298918292300844,17.8667693333468,right
56,1000,-24.1004,-99.5831,-134.817,1000,175.09799999999998,False,True,-1,0.28176801888303843,0.8118374822271989,2.1550313716912295,0.3963640886465177,16.92356841923203,right
57,1000,-24.0789,-105.963,-142.613,1000,175.493,False,True,-1,0.4192447490373014,1.1367794493928756,2.1557898801015547,0.5422682124090024,17.997179107552522,right
58,1000,-26.7613,-113.241,-135.185,1000,175.831,False,True,-1,0.21064848114946838,1.2396644262190826,2.7177953105728307,0.7046664403331355,18.024233260855777,right
59,1000,-26.738000000000003,-116.23100000000001,-135.194,1000,175.84799999999998,False,True,-1,0.11225056137200952,0.9776297920062704,2.7184017211170013,0.7046521044774945,18.021474128570095,right
60,1000,-29.253,-119.927,-141.335,1000,175.734,False,True,-1,0.20870283624637745,1.3930283319473815,2.3286671193268216,0.8962623216379257,18.631942214627028,right
61,1000,-29.1585,1000.0,-141.388,1000,175.799,False,True,-1,-1.0,-1.0,2.3240878550737025,0.8953356239811064,18.038162520695938,right
62,1000,-29.1629,1000.0,-141.398,1000,175.79,False,True,-1,-1.0,-1.0,2.326310424726117,0.8962508526824254,18.038425051695057,right
