,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
36,-142.74200000000002,-77.5975,-31.0769,-153.138,13.1328,116.62100000000001,True,True,2.175557398738564,1.165793321112754,0.7475472864811341,1.8496147621284027,0.11160290515939213,15.5196069273382,up
37,-142.727,-77.581,-31.0819,-153.165,13.1457,116.65100000000001,True,True,2.175635042873148,1.1660079585508927,0.7472085736216489,1.8491623347439279,0.11176809610858854,15.521378154888778,up
38,-138.709,-84.6622,-38.3177,-134.969,13.0893,108.64,True,True,2.4542077815510113,1.1607038768888944,0.8972099125143567,2.6135487988082726,0.17242879072879488,15.51495296226631,up
39,-138.718,-84.1956,-33.6747,-135.387,12.2353,102.993,True,True,2.456950995046227,1.2633330438163701,1.1226403138902468,2.1853270094076196,0.047193065732131605,15.78189208760246,up
40,-138.576,-84.633,-38.3908,-124.116,13.1903,110.78,True,True,2.458926092455745,1.1000888783977965,0.8964580020853147,2.6352952969303383,0.27806837363009446,15.534072425606464,up
41,-138.594,-84.1403,-38.3831,-135.019,13.1678,110.756,True,True,2.4596924552833257,1.164106739374662,0.8976287221822526,2.2001865288244202,0.17483922949722605,15.530492657249981,up
42,-138.42700000000002,-77.5395,-44.9868,-152.944,20.1118,130.601,True,True,2.458519832084255,1.092031838869521,0.4000328586826688,1.8475996728520188,0.4348095650395986,16.052912129465792,up
43,-138.44899999999998,-77.5549,-44.8862,-135.489,14.4373,129.77200000000002,True,True,2.458206703755516,1.0933123286702977,0.6903090850804966,1.847456934719283,0.39199846781399417,15.107513307552889,up
44,-135.04399999999998,-84.5873,-38.5987,-124.16799999999999,17.155,111.103,True,True,2.7700825444907187,1.0896435920737069,0.8818610728259441,2.634553711977783,0.28522762842357596,15.487624758298633,up
45,-135.03,-84.5698,-44.6465,-134.969,18.4621,116.882,True,True,2.770589657827308,1.0895706496358755,0.6939161594870601,2.6317882618737998,0.3898138005023418,15.264362377412287,up
46,-134.91299999999998,-80.4099,-52.2081,-127.071,20.1489,122.095,True,True,2.7763173835446553,0.7967685080237055,0.5434963207359103,3.1884517555706386,0.5347740187156445,15.096945640292951,up
47,-134.908,-80.4189,-52.1978,-127.068,20.1575,122.064,True,True,2.7769449857876474,0.796599009426094,0.5434769169018502,3.1907027924894074,0.5343691301428284,15.097735485971922,up
48,-134.9,-73.247,-52.3336,-126.96600000000001,20.1798,134.846,True,True,2.7671533253905025,0.7895639305943933,0.5399785265698068,2.3606342676265295,0.5343383699679891,15.092253899900053,up
49,-134.887,-71.45100000000001,-52.3841,-126.98200000000001,20.1785,140.01,True,True,2.7616326156098663,0.7887687626211548,0.539307774636505,1.9575289832390856,0.5346675610864281,15.091756969406314,up
50,-135.154,-71.6678,-36.8332,-104.486,20.067,122.021,True,True,2.1461789055203595,0.567444405179592,0.5371532448191368,3.464802912890939,0.36871881515511046,15.075469343968505,up
51,-135.118,-71.6282,-36.8108,-101.78200000000001,20.0934,125.40899999999999,True,True,2.140368166386923,0.627187109557407,0.5361910471118283,3.4542631952244522,0.5509411638502202,15.075524706892006,up
52,-135.138,1000.0,-36.8667,-103.977,22.579,1000.0,True,False,2.7913374239013047,0.5599573948247826,0.5412346944441659,-1.0,0.3640408207049028,16.39240271229392,up
53,-135.066,1000.0,-36.8266,-103.999,22.6511,1000.0,True,False,2.791046528768118,0.5600481921324671,0.5407769905473525,-1.0,0.3630661761550781,16.40673403839116,up
54,-131.605,-73.107,-26.32,-91.1904,23.3836,111.84899999999999,True,True,3.1481234928357797,0.7934050303577924,0.9671961925334495,4.022660111438039,0.19603817812927232,17.588131853212666,up
55,-128.726,-69.2645,-26.2872,-91.1963,26.6273,116.501,True,True,3.53691588589308,0.7934637782460009,0.9666196343632903,4.199600158972491,0.19620664404042576,17.584285305138856,up
56,-131.251,-71.3625,-16.0357,-108.57799999999999,23.36,119.15799999999999,True,True,2.476312953307719,1.3841370535060846,1.1303136775906395,3.459076211218059,0.21054440838452126,18.80768261266761,up
57,-134.766,-71.499,-18.3246,-116.09,23.3554,116.661,True,True,2.777486770911146,1.0665029426015928,0.8721321848943017,3.4738784422886733,0.11047491469988466,18.80435263774201,up
58,-131.491,-73.4208,-17.9377,-117.007,26.7282,116.477,True,True,3.114165678173575,1.0724999671904452,0.8676490714895027,2.366960578053935,0.10825110164401135,20.109542114853653,up
59,-131.499,-79.6081,-17.9441,-116.93700000000001,26.715999999999998,108.602,True,True,3.115535434879184,1.0726504234721554,0.868428683551718,2.7068447865982956,0.10836139993135505,20.103612787950983,up
60,-131.135,-77.2412,-18.6653,-134.237,24.8937,119.88799999999999,True,True,2.47009751935518,1.3673770721474605,0.8585307676191004,1.8624754573428584,0.17461418362375491,18.79478097776834,up
61,-131.137,-77.2606,-18.6557,-134.202,24.8949,119.85600000000001,True,True,2.4700820164189294,1.3669738594595797,0.858570790249624,1.862559920025843,0.17450624293157946,18.79654127958638,up
62,-127.83200000000001,-77.0434,-18.3418,-165.847,38.6054,127.21600000000001,True,True,2.8223366551060924,1.070002074845895,0.22091691024650786,1.845919752432009,0.3680728417311549,20.970072001191394,up
63,-127.897,-77.1186,-18.3956,-165.82,38.5125,127.132,True,True,2.82237745274994,1.070933603778489,0.22202874510585535,1.8473472611747959,0.36750200057051635,20.961125206683526,up
64,-134.49200000000002,-69.5557,-26.1063,-165.498,35.1564,134.869,True,True,2.763193866786461,0.7974736672084171,0.1160273422909562,1.6014981399973778,0.36777197932544686,20.933047792224812,up
65,-134.503,-69.6029,-26.076,-165.47299999999998,35.1422,134.81,True,True,2.7633682179444863,0.7973451645713924,0.11624994005718843,1.6033175050667472,0.367310246308154,20.93480819563314,up
66,-131.194,-69.6528,-33.5531,-153.468,31.0472,139.112,True,True,2.453313402847713,1.0599377651908073,0.2799165272087955,1.5933533370185613,0.4327662282262759,19.61857705520512,up
67,-131.204,-69.6682,-33.5663,-153.455,31.0296,139.11700000000002,True,True,2.4538887208935374,1.0602536404366762,0.2799911781409754,1.59293387265728,0.43315271534043887,19.613582608695676,up
68,-131.386,-75.6352,-44.5802,-143.371,26.5737,140.08,True,True,2.4551338254488035,1.0624897668089646,0.3857942051889195,1.4922048203416702,0.5375788146311866,18.353281139472816,up
