,angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,lear,rear,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,orientation
0,-155.434,1000,-38.8664,-89.8603,3.69804,1000,True,False,3.183112792050619,0.5329332823498875,0.8825698586849785,-1,0.34491298992698244,18.888893091237627,left
1,-155.38,1000,-52.9445,-89.7181,6.9198,1000,True,False,4.414914752749421,0.195513835987447,0.5454733313645157,-1,0.34612647629721277,18.91143557046473,left
2,-155.386,1000,-52.9537,-89.7016,6.913069999999999,1000,True,False,4.415429882173581,0.2161303309640226,0.545607694559993,-1,0.20030133072170014,18.910952314123016,left
3,-159.072,1000,-53.0273,-76.6036,3.6095,1000,True,False,4.201843407120305,0.09054685118452824,0.5339527046805744,-1,0.35777581786431695,17.27668719024112,left
4,-159.07299999999998,1000,-53.0278,-76.6027,3.6100800000000004,1000,True,False,4.203446059504901,0.0905174401292024,0.5338579857168017,-1,0.3578981653922805,17.280963287657393,left
5,-157.532,1000,-52.833,-62.9529,3.77894,1000,True,False,3.647689998596242,0.17219140738586639,0.5371663800623662,-1,0.10696278990484394,16.190114279912994,left
6,-161.315,1000,-52.8243,-70.9574,0.331809,1000,True,False,3.4726530399925726,0.10935195375270679,0.5375972990656858,-1,0.20928638577684994,16.19040361595294,left
7,-158.06799999999998,1000,-45.0695,-44.4274,0.263827,1000,True,False,2.5558077890810473,0.17397242881334077,0.6889272852538906,-1,0.17054301231302535,17.840474262265722,left
8,-158.061,1000,-45.0785,-44.3,0.257549,1000,True,False,2.5530420445884716,0.17490430187308034,0.6888113949415249,-1,0.16958483871130348,17.837188014516222,left
9,-155.63299999999998,1000,-38.5661,-18.1916,3.5173900000000002,1000,True,False,3.153067322009944,0.28573522701461235,0.8893922544986481,-1,0.21366178734573274,18.482729932110136,left
10,-151.644,1000,-44.6555,-18.0984,3.50564,1000,True,False,3.3790359953359066,0.43076415508634097,1.0750541292924651,-1,0.21421564138933924,18.480548793845834,left
11,-153.71,1000,-38.4407,-43.8078,3.72284,1000,True,False,2.715117271596131,0.537001130693534,0.8875682391214818,-1,0.04430545887733032,18.456454256127323,left
12,-153.725,1000,-38.4414,-44.352,3.71015,1000,True,False,2.715501389355109,0.538595754453875,0.8876788330931382,-1,0.04397718731939045,18.456284604532225,left
13,-156.359,1000,-26.9462,1000.0,3.63122,1000,True,False,2.134797126612291,-1.0,0.9660256777798194,-1,-1.0,18.442906280519964,left
