angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
1000.0,-28.8134,1000.0,-146.249,1000.0,176.182,-1.0,-1.0,-1.0,7.17775,3.44721,-0.572733,1021.17,0,1,right
1000.0,-28.8279,1000.0,-146.239,1000.0,176.176,-1.0,-1.0,-1.0,7.17761,3.44708,-0.572804,1021.17,0,1,right
1000.0,-33.3562,1000.0,-140.347,1000.0,176.111,-1.0,-1.0,-1.0,7.78367,3.969,-0.56697,1021.24,0,1,right
1000.0,-33.3723,1000.0,-140.358,1000.0,176.096,-1.0,-1.0,-1.0,7.78348,3.96871,-0.567025,1021.25,0,1,right
1000.0,-24.5181,1000.0,-135.549,1000.0,176.06,-1.0,-1.0,-1.0,10.0034,2.21061,-0.590837,1021.35,0,1,right
1000.0,-24.5046,1000.0,-135.534,1000.0,176.069,-1.0,-1.0,-1.0,10.0028,2.20912,-0.590883,1021.35,0,1,right
1000.0,-22.7083,1000.0,-127.163,1000.0,175.991,-1.0,-1.0,-1.0,11.7007,1.71581,-0.59323,1021.46,0,1,right
1000.0,-22.6749,1000.0,-127.147,1000.0,176.024,-1.0,-1.0,-1.0,11.7012,1.71653,-0.593146,1021.46,0,1,right
1000.0,-18.5859,1000.0,-124.343,1000.0,175.787,-1.0,-1.0,-1.0,11.7986,0.971852,-0.627811,1024.34,0,1,right
1000.0,-18.5753,1000.0,-124.292,1000.0,175.822,-1.0,-1.0,-1.0,11.7971,0.974768,-0.627695,1024.34,0,1,right
1000.0,-18.728,1000.0,-124.457,1000.0,175.705,-1.0,-1.0,-1.0,11.8665,0.986152,-0.634938,1030.08,0,1,right
1000.0,-18.6916,1000.0,-124.45,1000.0,175.721,-1.0,-1.0,-1.0,11.8681,0.983711,-0.635027,1030.09,0,1,right
1000.0,-20.1209,-99.1601,-134.864,1000.0,175.858,-1.0,0.957571,2.71221,10.0824,1.33024,-0.626976,1033.05,0,1,right
1000.0,-20.1361,-99.1601,-134.876,1000.0,175.84,-1.0,0.958213,2.7122,10.0809,1.32924,-0.627104,1033.06,0,1,right
1000.0,-24.1004,-99.5831,-134.817,1000.0,175.098,-1.0,1.00526,2.89872,7.69655,1.41476,-0.667303,1038.78,0,1,right
1000.0,-24.0789,-105.963,-142.613,1000.0,175.493,-1.0,1.41511,3.83757,7.27638,1.83112,-0.630727,1036.03,0,1,right
1000.0,-26.7613,-113.241,-135.185,1000.0,175.831,-1.0,0.686252,4.04089,8.85775,2.29627,-0.608951,1038.85,0,1,right
1000.0,-26.738,-116.231,-135.194,1000.0,175.848,-1.0,0.366126,3.18562,8.85747,2.29678,-0.60884,1038.85,0,1,right
1000.0,-29.253,-119.927,-141.335,1000.0,175.734,-1.0,0.663365,4.42671,7.40455,2.84784,-0.593832,1038.95,0,1,right
1000.0,-29.1585,1000.0,-141.388,1000.0,175.799,-1.0,-1.0,-1.0,7.45496,2.8737,-0.599124,1041.69,0,1,right
1000.0,-29.1629,1000.0,-141.398,1000.0,175.79,-1.0,-1.0,-1.0,7.46228,2.87567,-0.598955,1041.69,0,1,right
1000.0,-24.1802,1000.0,-153.014,1000.0,176.094,-1.0,-1.0,-1.0,6.63417,3.02174,-0.578484,1041.72,0,1,right
1000.0,-24.145,1000.0,-152.978,1000.0,176.134,-1.0,-1.0,-1.0,6.63375,3.02372,-0.578452,1041.73,0,1,right
1000.0,-24.222,1000.0,-153.041,1000.0,176.06,-1.0,-1.0,-1.0,6.63523,3.02323,-0.578437,1041.72,0,1,right
1000.0,-24.267,1000.0,-153.081,1000.0,176.013,-1.0,-1.0,-1.0,6.63868,3.02337,-0.578505,1041.73,0,1,right
1000.0,-22.1299,1000.0,-153.111,1000.0,176.307,-1.0,-1.0,-1.0,7.61424,2.94214,-0.562501,1041.73,0,1,right
1000.0,-22.1262,1000.0,-153.109,1000.0,176.309,-1.0,-1.0,-1.0,7.61445,2.94187,-0.562496,1041.73,0,1,right
1000.0,-23.8229,1000.0,-160.989,1000.0,172.619,-1.0,-1.0,-1.0,6.60856,2.67932,-0.575385,1041.76,0,1,right
1000.0,-23.8081,1000.0,-153.577,1000.0,176.059,-1.0,-1.0,-1.0,6.67214,3.01582,-0.559947,1041.75,0,1,right
1000.0,-18.755,1000.0,-160.897,1000.0,176.145,-1.0,-1.0,-1.0,6.17474,2.68355,-0.57655,1041.71,0,1,right
1000.0,-18.7513,1000.0,-160.873,1000.0,176.155,-1.0,-1.0,-1.0,6.17695,2.68332,-0.576542,1041.71,0,1,right
1000.0,-18.5758,1000.0,-153.474,1000.0,179.714,-1.0,-1.0,-1.0,6.22877,3.01512,-0.560019,1041.67,0,1,right
1000.0,-18.5708,1000.0,-153.471,1000.0,179.716,-1.0,-1.0,-1.0,6.23041,3.01469,-0.559983,1041.67,0,1,right
1000.0,-21.9747,1000.0,-148.929,1000.0,176.213,-1.0,-1.0,-1.0,7.86953,2.34711,-0.581505,1038.91,0,1,right
1000.0,-17.0744,1000.0,-149.345,1000.0,179.683,-1.0,-1.0,-1.0,7.53381,2.36476,-0.569514,1038.91,0,1,right
