angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-116.707,-49.0978,-26.9571,-135.29,18.4246,156.458,3.09259,5.51152,3.03791,5.78761,1.24849,-0.766562,1138.81,1,1,up
-116.79,-49.1773,-26.9073,-135.325,18.495,156.361,3.10834,5.50739,3.03478,5.78199,1.24456,-0.766742,1138.84,1,1,up
-116.778,-49.1759,-26.9027,-135.341,18.5157,156.356,3.11097,5.50869,3.03481,5.78354,1.24453,-0.766663,1138.85,1,1,up
-123.463,-54.1509,-22.2992,-153.03,23.9335,151.324,3.58714,5.5311,1.99696,5.05882,1.37314,-0.766416,1138.81,1,1,up
-119.697,-54.2621,-21.8461,-165.066,28.9802,146.744,4.34005,5.51675,1.95164,5.00434,1.15749,-0.776105,1138.83,1,1,up
-119.696,-54.2606,-21.8446,-165.065,28.9793,146.746,4.33978,5.51718,1.95185,5.00448,1.15753,-0.776092,1138.82,1,1,up
-119.564,-63.0609,-12.0361,-168.424,33.5368,142.499,4.23527,6.48409,1.69975,5.16449,1.68396,-0.770554,1138.87,1,1,up
-119.559,-63.0455,-12.0602,-168.402,33.5236,142.526,4.23176,6.48479,1.69992,5.16188,1.68472,-0.770517,1138.86,1,1,up
-119.477,-68.9386,-11.9568,-170.425,33.7057,142.276,4.17317,7.6145,1.6604,4.64568,2.31031,-0.754923,1141.59,1,1,up
-119.472,-63.2067,-11.9497,-168.622,33.7228,142.286,4.26306,6.47557,1.6942,5.18517,1.68158,-0.770881,1141.6,1,1,up
-111.046,-63.2017,-21.6818,-168.638,36.6037,142.287,4.78696,6.61604,1.894,5.26306,1.7073,-0.780791,1141.58,1,1,up
-116.529,-63.1818,-21.673,-168.638,33.7228,142.292,5.14053,6.52412,1.86814,5.19303,1.68298,-0.770419,1141.59,1,1,up
-110.994,-63.2444,-21.6095,-168.668,36.6294,142.23,4.78804,6.62438,1.89915,5.26567,1.70497,-0.780803,1141.59,1,1,up
-110.974,-63.2106,-21.603,-168.661,36.6551,142.248,4.78844,6.62206,1.89787,5.27026,1.70496,-0.780816,1141.57,1,1,up
-110.904,-58.196,-21.5641,-168.592,36.774,144.882,4.74564,6.52577,1.87265,5.75251,1.67844,-0.770549,1141.57,1,1,up
-110.9,-63.1913,-21.5386,-168.589,36.7942,142.209,4.81782,6.61175,1.89962,5.28882,1.69795,-0.781162,1141.57,1,1,up
-108.89,-66.073,-30.9698,-170.586,36.7033,141.229,5.62723,7.71694,2.09981,6.02547,2.28217,-0.76183,1141.58,1,1,up
-108.889,-66.0662,-30.9737,-170.597,36.7016,141.238,5.62654,7.71943,2.09971,6.02426,2.2835,-0.761753,1141.59,1,1,up
-105.682,-71.3151,-38.3043,-170.803,41.0836,138.238,8.23188,8.20696,2.55939,5.80375,2.34058,-0.759372,1141.6,1,1,up
-105.685,-71.3159,-38.3053,-170.804,41.0763,138.238,8.23103,8.20766,2.5599,5.80323,2.3405,-0.759351,1141.6,1,1,up
-105.602,-66.1442,-30.783,-170.734,44.8933,141.119,8.31277,7.96447,2.1477,6.25492,2.36577,-0.741898,1141.69,1,1,up
-105.602,-66.1682,-30.7936,-170.774,44.924,141.076,8.31911,7.96245,2.14447,6.26692,2.36709,-0.741956,1141.69,1,1,up
-114.523,-73.1963,-44.1913,-172.263,44.9182,137.686,9.54313,6.78378,1.17708,7.15998,3.20958,-0.757721,1141.64,1,1,up
-114.513,-73.2046,-44.213,-172.256,44.9342,137.671,9.5442,6.77761,1.17657,7.16153,3.20695,-0.757953,1141.63,1,1,up
-114.567,-73.218,-33.3349,-179.718,48.0822,134.859,9.50081,6.74088,0.86419,7.18119,3.13519,-0.758634,1141.6,1,1,up
-114.605,-73.218,-26.749,-179.644,44.9669,132.135,9.35529,6.65131,1.26412,7.07046,2.33105,-0.768128,1141.59,1,1,up
-114.477,-68.3576,-33.2108,-179.709,48.1982,134.879,9.66257,5.68069,0.876424,7.7894,2.39038,-0.774902,1141.59,1,1,up
-114.46,-68.344,-33.2342,-179.698,48.2217,134.886,9.66731,5.67874,0.875955,7.79463,2.39045,-0.774945,1141.59,1,1,up
-116.464,-68.3058,-18.6158,-179.644,48.2513,134.947,8.35658,5.51155,0.686667,7.80239,2.39791,-0.777405,1141.57,1,1,up
-116.473,-68.3119,-18.585,-179.646,48.2352,134.941,8.35155,5.51383,0.687403,7.80314,2.39777,-0.777316,1141.58,1,1,up
-111.962,-68.1418,-18.6405,-179.592,51.8028,135.073,7.91416,5.58513,0.696694,7.90795,2.4291,-0.788433,1141.58,1,1,up
-111.978,-66.114,-18.5911,-179.546,51.7755,137.9,7.91558,5.58584,0.698378,6.70044,2.42645,-0.788995,1138.87,1,1,up
-116.527,-68.1782,-26.3978,-179.677,51.9156,135.006,8.71633,4.54596,0.364851,8.09332,2.48136,-0.807386,1138.87,1,1,up
-116.516,-68.1799,-26.4086,-179.679,51.9234,135.003,8.71669,4.54638,0.364982,8.09458,2.48145,-0.807404,1138.87,1,1,up
-123.564,-73.0901,-26.7118,-171.137,45.1536,134.952,8.32298,4.52495,0.352749,7.71469,2.61103,-0.79767,1141.6,1,1,up
-123.534,-73.1022,-26.6996,-171.16,45.2093,134.933,8.33605,4.5229,0.351561,7.71994,2.61187,-0.797773,1141.6,1,1,up
-123.753,-71.5255,-26.9833,-179.742,44.9768,134.96,8.30461,4.57142,0.350847,6.45582,2.54148,-0.796339,1141.62,1,1,up
-123.75,-71.5356,-26.9759,-179.743,44.9828,134.941,8.30032,4.5704,0.350477,6.46363,2.54155,-0.796405,1141.62,1,1,up
-123.785,-73.14,-26.895,-179.674,44.9067,132.099,8.25938,4.56628,0.351919,7.75441,2.53465,-0.794988,1141.64,1,1,up
-123.743,-73.0937,-26.8647,-179.637,44.9171,132.15,8.26284,4.57462,0.354052,7.75061,2.53557,-0.794689,1141.63,1,1,up
-119.294,-68.1978,-26.4067,-179.607,48.4449,134.909,7.53599,4.57258,0.364793,8.26039,2.50223,-0.795014,1141.64,1,1,up
-119.291,-68.1904,-26.2722,-179.588,48.426,134.916,7.52966,4.5762,0.36627,8.25693,2.49995,-0.794912,1141.65,1,1,up
-126.819,-72.9371,-26.9925,-169.082,41.2475,131.819,7.55515,3.67719,0.374527,8.20061,1.95309,-0.816412,1141.68,1,1,up
-126.452,-69.7695,-26.3411,-169.067,41.4513,131.991,7.40719,3.61431,0.3795,10.0797,1.88776,-0.802788,1141.69,1,1,up
-126.455,-69.7716,-26.3794,-169.066,41.4468,131.987,7.40755,3.61299,0.379417,10.0803,1.88748,-0.802831,1141.69,1,1,up
-118.937,-69.7065,-1.45392,-179.552,48.2072,129.532,7.51435,4.51772,0.640283,9.75113,1.75719,-0.795838,1141.72,1,1,up
-119.016,-69.7145,-18.3789,-169.031,45.0261,132.007,7.62648,4.57957,0.720961,9.89908,1.84692,-0.785159,1141.73,1,1,up
-123.53,-74.382,-26.1851,-179.681,45.0104,129.42,8.24196,4.56302,0.363037,9.22991,2.49618,-0.793299,1141.74,1,1,up
-127.608,-68.3356,-26.7693,-179.598,41.7856,132.104,9.18166,3.60361,0.359043,8.27425,1.81015,-0.800803,1141.7,1,1,up
-127.714,-68.2126,-26.7108,-179.418,41.6656,132.166,9.32269,3.63971,0.36643,8.40364,1.8213,-0.790007,1141.7,1,1,up
-130.769,-68.1388,-26.8344,-168.953,38.1663,135.002,8.3243,3.62653,0.373247,8.54353,1.91774,-0.780287,1141.69,1,1,up
-130.92,-69.9608,-26.7597,-168.871,38.0374,132.061,8.18838,3.56093,0.366949,9.85019,1.88221,-0.789127,1141.7,1,1,up
-130.923,-69.9485,-26.762,-168.854,38.0263,132.072,8.18488,3.56126,0.367404,9.85073,1.88177,-0.789072,1141.7,1,1,up
-126.939,-67.9484,-33.8036,-153.83,33.9009,135.197,7.63046,3.70891,0.960186,8.874,1.53407,-0.778819,1144.52,1,1,up
-131.02,-67.9807,-44.694,-153.868,33.8985,135.169,8.93869,2.88707,0.629754,9.24112,1.59831,-0.786846,1144.52,1,1,up
-131.092,-67.9898,-44.8062,-153.814,33.8325,135.152,8.97514,2.88102,0.631631,9.23839,1.59547,-0.788109,1141.75,1,1,up
-127.909,-68.1068,-26.6968,-179.314,41.569,128.923,9.75651,2.80445,0.377055,8.78939,1.22195,-0.821973,1141.75,1,1,up
-127.963,-73.0074,-26.8354,-179.48,41.546,128.877,9.66634,3.69455,0.370837,8.19567,1.85171,-0.790814,1144.53,1,1,up
-127.911,-68.1211,-26.8773,-179.392,41.5782,128.901,9.8947,2.84073,0.380561,8.91921,1.24091,-0.810269,1144.54,1,1,up
-130.96,-68.0131,-26.9021,-179.306,38.0352,128.997,8.62834,2.84102,0.383176,8.90351,1.23738,-0.808001,1144.53,1,1,up
-130.992,-68.0516,-26.9149,-179.322,38.0292,128.957,8.63773,2.83632,0.381753,8.90688,1.23667,-0.808167,1144.53,1,1,up
-130.979,-72.9529,-26.87,-179.448,38.0048,128.937,8.43464,3.71365,0.375725,8.20254,1.8556,-0.789324,1141.76,1,1,up
-131.0,-73.0703,-27.0238,-179.572,38.0117,128.837,8.43079,3.70979,0.372668,8.20237,1.85963,-0.788553,1144.52,1,1,up
-126.748,-67.9902,-26.6257,-179.417,41.1229,132.044,7.50106,3.705,0.386587,8.73063,1.82457,-0.789609,1144.54,1,1,up
-130.884,-68.0042,-27.0259,-179.296,38.0726,129.02,8.61721,2.84853,0.38432,8.91582,1.24142,-0.807834,1144.54,1,1,up
-130.768,-69.8254,-26.9192,-166.666,38.2042,128.93,8.62332,2.79954,0.383361,10.4427,1.32735,-0.809606,1144.55,1,1,up
-126.609,-69.7905,-18.9865,-166.614,38.2389,128.97,7.50417,3.65833,0.725195,10.1908,1.29573,-0.790002,1144.53,1,1,up
-126.567,-69.816,-26.4506,-169.033,41.3244,131.961,7.51618,3.6651,0.385966,10.2184,1.9139,-0.791052,1144.54,1,1,up
-126.521,-69.7228,-26.3712,-168.91,41.3543,132.019,7.51725,3.66083,0.387308,10.2352,1.9086,-0.790889,1144.54,1,1,up
-126.424,-69.7889,-26.2959,-169.058,41.4661,131.95,7.52116,3.66787,0.386346,10.2435,1.91275,-0.791162,1144.52,1,1,up
-126.472,-65.4718,-26.3055,-166.469,41.3983,131.98,7.70083,2.79766,0.397184,11.1552,1.29785,-0.810795,1144.53,1,1,up
-119.113,-65.3738,-18.5905,-166.257,44.8045,132.11,7.76918,3.6295,0.745804,10.7333,1.25124,-0.802928,1144.54,1,1,up
-114.183,-67.0861,-14.2451,-166.207,44.8614,129.538,6.94688,4.56272,1.20673,12.0618,1.21686,-0.782213,1144.54,1,1,up
-108.708,-61.2984,-11.542,-162.377,44.9749,132.199,6.47871,4.6035,1.83053,11.2358,0.740148,-0.783751,1144.56,1,1,up
-108.677,-61.2994,-11.4844,-162.358,44.9995,132.199,6.48232,4.6109,1.83377,11.2489,0.740815,-0.78351,1144.56,1,1,up
-114.113,-69.7409,-14.1854,-169.07,44.9295,132.059,6.91912,5.73405,1.20187,9.77366,1.83953,-0.754636,1144.59,1,1,up
-116.552,-69.7503,-14.2452,-169.006,41.3862,132.071,5.79329,5.71647,1.19966,9.73483,1.83367,-0.753023,1144.59,1,1,up
-114.009,-61.3528,-14.0065,-162.557,45.175,132.116,7.19716,3.64049,1.2324,11.5449,0.758492,-0.802852,1144.61,1,1,up
-116.66,-61.2665,-14.4391,-161.49,41.1259,132.226,6.03236,3.67996,1.2676,11.7394,0.762434,-0.788859,1144.59,1,1,up
-108.845,-61.2628,-11.3424,-162.018,44.888,132.199,6.47809,4.591,1.83605,11.2439,0.732604,-0.783479,1144.61,1,1,up
-108.843,-61.2588,-11.3452,-161.989,44.8966,132.203,6.48164,4.58921,1.83575,11.2437,0.732317,-0.783483,1144.61,1,1,up
