angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-146.152,-29.1361,-38.575,-144.432,0.146852,179.962,1.32164,3.66743,1.03988,2.67498,1.86626,-0.617815,528.272,1,1,center
-140.22,-33.634,-44.7315,-139.488,0.197106,179.936,1.54563,3.66075,1.25822,2.94865,2.13096,-0.618364,528.294,1,1,center
-140.193,-33.684,-44.6712,-139.487,0.264496,179.908,1.54929,3.66411,1.25876,2.94812,2.1304,-0.618145,528.292,1,1,center
-149.91,-33.6666,-38.5461,-139.538,0.193992,179.917,1.62024,3.68644,1.02787,2.89807,2.09852,-0.609031,528.314,1,1,center
-153.008,-24.2918,-31.1686,-149.997,0.09463,179.955,1.14847,3.67701,0.87273,2.44984,1.64781,-0.617405,528.286,1,1,center
-156.587,-26.462,-27.243,-158.743,4.81055,176.638,1.44759,3.59901,0.522987,2.02122,1.79279,-0.629054,528.289,1,1,center
-145.996,-20.7133,-22.5316,-156.415,10.2355,179.949,1.32676,3.63403,0.735754,1.88591,1.46092,-0.638403,528.259,1,1,center
-144.486,-24.0858,-44.8702,-149.91,5.11244,-179.967,1.9024,3.11389,0.830625,2.51156,1.6717,-0.632642,528.252,1,1,center
-146.252,-29.0488,-38.94,-149.927,0.0277214,176.536,1.32834,3.61644,1.0351,2.69422,1.64626,-0.620594,528.252,1,1,center
-144.381,-20.7927,-36.9707,-156.198,10.1767,-179.991,1.92538,3.14666,0.661178,1.94856,1.5098,-0.640373,528.282,1,1,center
-156.406,-26.4546,-36.6119,-150.261,0.32877,179.874,1.5164,3.17754,0.654987,2.11877,1.68078,-0.640409,528.284,1,1,center
-150.13,-26.792,-44.9028,-150.039,0.217736,179.815,1.7169,3.15069,0.836957,2.12781,1.69223,-0.640725,528.271,1,1,center
-139.442,-37.6329,-51.3981,-139.322,5.02387,176.592,2.16327,3.09772,1.05273,3.29603,2.15411,-0.642883,528.266,1,1,center
-135.179,-37.7458,-55.8078,-139.292,5.06469,176.605,2.46538,3.09422,1.32137,3.27952,2.1559,-0.641679,528.274,1,1,center
-135.264,-33.8861,-50.2161,-135.21,4.58636,179.935,2.46699,3.09624,1.53597,2.97838,1.85487,-0.642848,528.278,1,1,center
-139.418,-33.9197,-51.1197,-139.282,5.01304,179.882,2.15491,3.11393,1.05755,2.97474,2.15315,-0.640807,528.302,1,1,center
-139.388,-40.7401,-45.2648,-139.241,4.73524,176.371,2.13087,3.58494,1.24709,2.83977,2.11273,-0.631205,528.299,1,1,center
-147.821,-36.6065,-51.0941,-139.473,0.247264,179.862,2.29181,3.1299,1.05139,2.60097,2.16387,-0.632458,528.299,1,1,center
-153.113,-31.971,-44.8417,-144.365,0.246736,179.877,2.06422,3.13497,0.827487,2.32208,1.8933,-0.632274,528.315,1,1,center
-159.235,-20.8732,-27.4953,-156.282,4.46989,179.971,1.86034,3.10169,0.522581,1.89288,1.47803,-0.643529,529.56,1,1,center
-156.554,-26.408,-36.6654,-150.241,0.263546,179.952,1.5337,3.18222,0.658402,2.10823,1.68202,-0.641533,529.576,1,1,center
-153.4,-26.3584,-36.6659,-150.246,4.73363,179.97,2.04749,3.14059,0.649447,2.08279,1.66035,-0.633476,529.593,1,1,center
